id,web_name,team,now_cost,element_type,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,dreamteam_count
210,Agüero,11,116,4,1449,16,6,5,18,0,0,1,1,0,0,14,132,4
211,Jesus,11,99,4,2018,14,8,12,14,0,0,1,3,0,0,17,146,3
212,Ederson,11,61,1,3071,0,0,16,31,0,0,0,3,1,68,2,133,0
213,Bravo,11,47,1,346,0,0,1,7,0,0,0,0,0,8,0,11,0
214,Sterling,11,120,3,2651,20,6,13,31,0,0,2,5,0,0,20,204,7
215,De Bruyne,11,106,3,2790,13,23,18,22,0,0,0,3,0,0,35,251,9
216,Sané,11,91,3,11,0,0,0,0,0,0,0,0,0,0,0,1,0
217,Mahrez,11,86,3,1934,11,14,10,15,0,0,0,0,0,0,17,175,5
218,Bernardo Silva,11,76,3,2021,6,7,9,24,0,0,0,5,0,0,7,116,2
219,David Silva,11,75,3,1821,6,12,11,15,0,0,0,0,0,0,15,139,6
220,Foden,11,55,3,888,5,2,4,7,0,0,0,0,0,0,4,69,1
221,Fernandinho,11,51,3,2394,0,1,10,27,1,0,0,7,2,0,1,55,0
222,Gündogan,11,51,3,2012,2,1,7,28,0,0,1,7,0,0,4,65,0
440,Angeliño,11,46,2,422,0,1,0,7,0,0,0,1,0,0,1,11,0
443,Rodrigo,11,53,3,2480,3,2,14,27,0,0,0,8,0,0,5,92,1
518,Cancelo,11,51,2,1205,0,0,5,11,0,0,0,4,0,0,3,45,0
544,Garcia,11,45,2,790,0,0,5,7,0,0,0,1,0,0,0,38,0
562,Carson,11,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,Harwood-Bellis,11,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
643,Palmer,11,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,Doyle,11,45,3,15,0,0,0,0,0,0,0,0,0,0,0,1,0
122,Wan-Bissaka,12,55,2,3070,0,4,12,33,0,0,0,8,0,0,16,127,3
160,Maguire,12,53,2,3420,1,0,13,36,0,0,0,6,0,0,5,123,1
223,Smalling,12,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Young,12,54,2,953,0,0,2,10,0,0,0,5,0,0,0,24,0
225,Lindelöf,12,53,2,3092,1,0,12,32,1,0,0,6,0,0,9,116,1
226,Shaw,12,54,2,1730,0,0,8,15,0,0,0,7,0,0,2,67,0
227,Rojo,12,48,2,121,0,0,0,2,0,0,0,1,0,0,0,3,0
228,Bailly,12,47,2,148,0,0,1,1,0,0,0,0,0,0,0,9,0
229,Dalot,12,49,2,65,0,0,0,1,0,0,0,0,0,0,0,4,0
230,Darmian,12,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Jones,12,47,2,135,0,0,0,3,0,0,0,0,0,0,0,2,0
232,Lukaku,12,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Rashford,12,89,4,2645,17,8,9,29,0,0,2,3,0,0,31,177,5
234,Greenwood,12,48,4,1303,10,1,6,13,0,0,0,0,0,0,17,103,1
235,de Gea,12,53,1,3420,0,0,13,36,0,0,0,2,0,95,8,143,3
236,Romero,12,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Grant,12,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Pogba,12,83,3,1202,1,4,6,9,0,0,1,1,0,0,2,51,1
239,Martial,12,85,3,2625,17,9,14,27,0,0,1,1,0,0,14,200,5
240,Sánchez,12,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Lingard,12,63,3,923,1,0,1,14,0,0,0,3,0,0,0,32,0
242,Mata,12,61,3,747,0,2,4,8,0,0,0,1,0,0,2,38,1
243,James,12,57,3,2281,3,6,7,29,0,0,0,4,0,0,2,95,0
244,Fred,12,51,3,2157,0,0,6,26,0,0,0,8,0,0,0,50,0
245,Gomes,12,47,3,19,0,0,0,1,0,0,0,0,0,0,0,2,0
246,Pereira,12,47,3,1478,1,3,6,16,0,0,0,3,0,0,1,60,0
247,Matic,12,48,3,1578,0,2,10,13,0,0,0,2,0,0,2,55,0
248,McTominay,12,48,3,1765,3,2,3,20,0,0,0,2,0,0,6,74,0
249,Chong,12,42,3,34,0,0,0,0,0,0,0,0,0,0,0,3,0
250,Garner,12,43,3,8,0,0,0,1,0,0,0,0,0,0,0,1,0
481,Tuanzebe,12,44,2,187,0,0,0,3,0,0,0,0,0,0,0,7,0
549,Williams,12,38,2,1003,1,1,5,11,0,0,0,6,0,0,3,51,1
618,Fernandes,12,90,3,1187,8,8,9,6,0,0,0,2,0,0,18,117,6
624,Ighalo,12,59,4,92,0,0,0,0,0,0,0,0,0,0,0,11,0
658,Fosu-Mensah,12,45,2,136,0,0,1,1,0,0,0,1,0,0,0,7,0
251,Ritchie,13,53,2,1312,2,1,8,19,0,0,1,4,0,0,7,74,2
252,Schär,13,50,2,1669,2,1,4,38,0,0,0,5,0,0,2,55,0
253,Yedlin,13,44,2,934,1,0,1,18,0,0,0,3,0,0,0,26,0
254,Fernández,13,46,2,2617,2,3,8,42,1,0,0,8,0,0,13,102,4
255,Dummett,13,43,2,1227,0,0,5,20,1,0,0,2,0,0,4,44,0
256,Manquillo,13,43,2,1597,0,1,8,21,0,0,0,5,0,0,4,65,1
257,Lejeune,13,43,2,440,2,0,1,10,0,0,0,0,0,0,1,24,1
258,Lascelles,13,42,2,2076,1,0,8,31,0,0,0,5,0,0,3,73,1
259,Clark,13,43,2,1186,2,0,4,14,0,0,0,3,0,0,2,49,1
260,Muto,13,51,4,207,0,0,0,7,0,0,0,0,0,0,0,9,0
261,Joselu,13,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Dubravka,13,51,1,3420,0,0,11,58,0,0,0,0,0,139,7,143,1
263,Darlow,13,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Woodman,13,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Almirón,13,58,3,3020,4,2,12,48,0,0,0,5,0,0,5,109,1
267,Atsu,13,53,3,738,0,3,3,15,0,0,0,2,0,0,0,37,0
268,Ki Sung-yueng,13,47,3,135,0,0,0,6,0,0,0,0,0,0,0,4,0
269,Shelvey,13,49,3,2118,6,2,8,34,0,0,0,3,0,0,15,105,0
270,Longstaff,13,50,3,1370,1,2,2,26,0,0,0,2,1,0,0,44,0
271,Hayden,13,44,3,2220,1,4,8,36,0,0,0,4,1,0,3,73,0
332,Rose,13,53,2,1753,0,0,5,28,0,0,0,7,0,0,0,47,0
466,Joelinton,13,55,4,2678,2,2,9,46,0,0,0,7,0,0,3,78,0
482,Colback,13,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,Murphy,13,47,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Willems,13,43,2,1492,2,2,3,24,0,0,0,0,0,0,6,64,1
499,Aarons,13,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,Saint-Maximin,13,52,3,1860,3,5,8,22,0,0,0,0,0,0,7,92,1
519,Krafth,13,43,2,1015,0,1,3,23,0,0,0,0,0,0,2,37,0
520,Carroll,13,54,4,617,0,4,2,10,0,0,0,1,0,0,0,34,0
540,Matthew Longstaff,13,45,3,572,2,0,1,11,0,0,0,1,0,0,2,27,1
554,Gayle,13,50,4,842,4,2,4,15,0,0,0,2,0,0,10,58,0
573,Elliot,13,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,Allan,13,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Watts,13,39,2,16,0,0,0,1,0,0,0,0,0,0,0,1,0
610,Gibson,13,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,Bentaleb,13,47,3,747,0,0,2,16,0,0,0,2,0,0,0,19,0
614,Lazaro,13,53,3,472,1,0,0,13,0,0,0,0,1,0,0,19,0
656,Young,13,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,Klose,14,43,2,585,0,0,0,13,0,0,0,0,0,0,0,9,0
273,Godfrey,14,44,2,2644,0,0,3,62,1,0,0,3,1,0,0,38,0
274,Aarons,14,42,2,3240,0,2,5,71,0,0,0,7,0,0,3,66,1
275,Zimmermann,14,44,2,1430,0,1,3,27,0,0,0,3,0,0,1,35,0
276,Lewis,14,44,2,2301,1,0,3,56,0,0,0,4,0,0,3,48,1
277,Hanley,14,40,2,1261,0,0,2,25,1,0,0,4,0,0,1,23,0
278,Pukki,14,64,4,2884,11,3,6,59,0,0,0,3,0,0,21,139,2
279,Srbeny,14,52,4,41,1,0,0,2,0,0,0,0,0,0,1,13,0
280,Krul,14,46,1,3240,0,0,5,68,1,2,0,4,0,131,10,109,2
281,McGovern,14,41,1,158,0,0,0,6,0,1,0,0,0,7,2,11,0
282,Vrancic,14,62,3,624,1,0,0,19,0,0,0,3,0,0,1,29,0
283,Buendía,14,60,3,2458,1,7,3,54,0,0,0,6,1,0,12,94,1
284,Hernández,14,53,3,1374,1,2,1,32,0,0,0,0,0,0,0,52,0
285,Stiepermann,14,50,3,1173,0,0,1,32,0,0,0,6,0,0,0,32,0
286,McLean,14,48,3,2965,1,1,5,63,0,0,0,5,0,0,0,77,0
287,Cantwell,14,45,3,2484,6,2,6,54,0,0,0,6,0,0,10,111,2
288,Leitner,14,43,3,683,0,0,1,16,0,0,0,1,0,0,0,16,0
289,Tettey,14,44,3,2339,1,1,5,44,0,0,0,5,0,0,3,67,0
290,Trybull,14,43,3,1128,0,0,2,25,0,0,0,2,0,0,0,28,0
434,Drmic,14,53,4,636,1,0,0,13,0,0,0,0,1,0,0,26,0
435,Roberts,14,50,3,24,0,0,0,2,0,0,0,0,0,0,0,3,0
449,Fahrmann,14,44,1,21,0,0,0,1,0,0,0,0,0,1,0,1,0
454,Byram,14,43,2,1292,0,0,3,23,0,0,0,4,0,0,2,32,0
484,Heise,14,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
507,Amadou,14,45,3,756,0,0,1,20,0,0,0,1,0,0,0,18,0
538,Idah,14,44,4,219,0,0,0,9,0,0,0,0,0,0,0,13,0
551,Mair,14,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,Famewo,14,39,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
601,Duda,14,44,3,723,0,1,3,9,0,0,0,0,0,0,0,24,0
602,Rupp,14,44,3,692,0,0,1,18,0,0,0,1,0,0,0,19,0
632,Martin,14,45,3,32,0,0,0,2,0,0,0,0,0,0,0,5,0
650,Thomas,14,40,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
669,Adshead,14,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Mousset,15,43,4,1223,6,4,3,15,0,0,0,1,0,0,11,84,1
291,Stevens,15,52,2,3345,2,4,13,39,0,0,0,7,0,0,8,142,1
292,Freeman,15,42,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0
293,O'Connell,15,45,2,2915,0,1,12,28,0,0,0,4,0,0,6,111,1
294,Baldock,15,50,2,3420,2,4,13,39,0,0,0,7,0,0,7,142,1
295,Egan,15,47,2,3187,2,1,13,33,0,0,0,3,1,0,9,133,2
296,Stearman,15,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9
297,Lundstram,15,46,2,2452,5,4,10,29,0,0,0,5,0,0,15,144,5
298,Sharp,15,52,4,1037,3,2,4,10,0,0,0,1,1,0,9,57,1
299,Eastwood,15,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Duffy,15,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Fleck,15,47,3,2515,5,2,8,30,0,0,0,8,0,0,13,101,4
302,Norwood,15,47,3,3089,1,3,13,36,0,0,0,8,0,0,6,98,1
303,McGoldrick,15,54,4,1810,2,2,7,18,0,0,0,2,0,0,6,65,1
423,Basham,15,46,2,3242,0,1,13,37,0,0,0,4,0,0,6,123,0
436,Moore,15,43,1,180,0,0,0,6,0,0,0,0,0,5,0,3,0
441,Freeman,15,50,3,360,0,0,1,5,0,0,0,2,0,0,0,13,0
444,Jagielka,15,41,2,240,0,0,0,6,0,0,0,0,0,0,0,6,0
