,player_name,team_name,ids,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam
417,Costa,Wolves,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
418,Cavaleiro,Wolves,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
419,Dendoncker,Wolves,420,64,0,0,0,1,1,0,0,0,0,0,0,7,5.2,2.9,38.0,4.6,0,False
420,Trossard,Brighton,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
421,André Gomes,Everton,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
422,Lennon,Burnley,430,11,0,0,0,0,0,0,0,0,0,0,0,3,4.4,1.4,0.0,0.6,1,False
423,Pulisic,Chelsea,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
424,Kovacic,Chelsea,432,90,0,0,0,2,0,0,0,1,0,0,0,10,8.0,4.3,8.0,2.0,1,False
425,Roberts,Norwich,435,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1,False
426,Djenepo,Southampton,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
427,Freeman,Sheffield Utd,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
428,Ndombele,Spurs,442,85,0,0,0,2,0,0,0,0,0,0,0,13,15.4,14.3,2.0,3.2,2,False
429,Rodrigo,Man City,443,90,0,0,1,0,0,0,0,0,0,0,0,19,17.2,14.3,8.0,4.0,3,False
430,Tielemans,Leicester,448,83,0,0,0,1,0,0,0,0,0,0,0,8,4.8,29.3,10.0,4.4,2,False
431,Callum Robinson,Sheffield Utd,453,61,0,0,1,0,0,0,0,0,0,0,0,5,1.0,0.3,0.0,0.1,3,False
432,Morrison,Sheffield Utd,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
433,Kenedy,Chelsea,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
434,Mount,Chelsea,463,90,0,0,0,2,0,0,0,0,0,0,0,0,3.8,16.8,10.0,3.1,2,False
435,Trézéguet,Aston Villa,465,67,0,0,0,1,0,0,0,0,0,0,0,6,20.0,24.0,39.0,8.3,2,False
436,Ceballos,Arsenal,469,71,0,0,0,2,0,0,0,0,0,0,0,10,10.4,15.8,4.0,3.0,2,False
437,Douglas Luiz,Aston Villa,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
438,Osborn,Sheffield Utd,472,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,1,False
439,Billing,Bournemouth,476,90,0,1,0,1,0,0,0,0,0,0,0,23,29.4,13.8,3.0,4.6,5,False
440,King,Leicester,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
441,Colback,Newcastle,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
442,Murphy,Newcastle,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
443,Pépé,Arsenal,488,90,1,0,0,2,0,0,0,1,0,0,2,30,47.0,61.8,70.0,17.9,8,False
444,Nelson,Arsenal,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
445,Willock,Arsenal,490,18,0,0,0,0,0,0,0,0,0,0,0,3,5.0,11.8,12.0,2.9,1,False
446,Nakamba,Aston Villa,491,84,0,0,0,3,0,0,0,0,0,0,0,14,23.4,1.2,7.0,3.2,2,False
447,Danjuma,Bournemouth,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
448,Gbamin,Everton,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
449,Aarons,Norwich,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
450,Saint-Maximin,Newcastle,500,17,0,0,0,0,0,0,0,0,0,0,0,6,8.4,10.2,11.0,3.0,1,False
451,Harry Wilson,Bournemouth,505,62,1,0,0,1,0,0,0,1,0,0,0,23,31.0,0.8,17.0,4.9,6,False
452,Amadou,Norwich,507,90,0,0,0,2,0,0,0,1,0,0,0,9,28.6,0.9,0.0,3.0,1,False
453,Boufal,Southampton,508,90,0,0,0,3,0,0,0,0,0,0,0,14,19.4,14.9,59.0,9.3,2,False
454,Camarasa,Crystal Palace,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
455,Mooy,Brighton,516,69,0,0,1,0,0,0,0,0,0,0,0,13,4.2,15.0,9.0,2.8,3,False
456,Praet,Leicester,517,23,0,0,0,0,0,0,0,0,0,0,0,5,5.2,0.7,0.0,0.6,1,False
457,Bešić,Sheffield Utd,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
458,Lo Celso,Spurs,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
459,Sessegnon,Spurs,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
460,Sarr,Watford,525,31,0,0,0,2,0,0,0,0,0,0,0,2,0.8,0.7,0.0,0.2,1,False
461,Nkoudou,Spurs,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
462,Neto,Wolves,528,25,0,0,0,0,0,0,0,0,0,0,0,1,3.6,0.7,0.0,0.4,1,False
463,Gilmour,Chelsea,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
464,Alzate,Brighton,537,90,0,0,1,0,0,0,0,0,0,0,0,10,10.4,24.4,6.0,4.1,3,False
465,Riedewald,Crystal Palace,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
466,Matthew Longstaff,Newcastle,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
467,Saka,Arsenal,541,45,0,0,0,1,0,0,0,0,0,0,0,8,8.4,15.3,5.0,2.9,1,False
468,Aubameyang,Arsenal,11,90,1,0,0,2,0,0,0,1,0,0,0,26,34.6,1.6,59.0,9.5,5,False
469,Lacazette,Arsenal,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
470,Nketiah,Arsenal,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
471,Kodjia,Aston Villa,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
472,Murray,Brighton,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
473,Locadia,Brighton,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
474,Andone,Brighton,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
475,Callum Wilson,Bournemouth,67,90,1,0,0,1,0,0,0,0,0,0,1,30,37.8,0.8,21.0,6.0,7,False
476,King,Leicester,68,90,0,0,0,1,0,0,0,0,0,0,0,2,4.6,3.2,20.0,2.8,2,False
477,Solanke,Bournemouth,69,76,0,0,0,1,0,0,0,0,0,0,0,0,2.4,12.4,4.0,1.9,2,False
478,Mousset,Sheffield Utd,70,28,1,0,0,0,0,0,0,0,0,0,0,24,32.0,1.0,19.0,5.2,5,False
479,Surridge,Bournemouth,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False
480,Barnes,Leicester,90,78,0,0,1,0,0,0,0,0,0,0,0,5,0.0,3.0,54.0,5.6,2,False
