,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
14,Dele Alli,eng ENG,"MF,FW",Tottenham,23,1996,25,21,"1,847",8,4,1,1,2,0,0.39,0.19,0.58,0.34,0.54,6.9,6.1,2.0,0.34,0.10,0.43,0.30,0.39,Matches
15,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,25,1994,36,35,"3,021",4,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,6.4,6.4,1.4,0.19,0.04,0.23,0.19,0.23,Matches
16,Marcos Alonso,es ESP,DF,Chelsea,28,1990,18,15,"1,430",4,2,0,0,4,0,0.25,0.13,0.38,0.25,0.38,2.0,2.0,2.0,0.13,0.13,0.26,0.13,0.26,Matches
17,Steven Alzate,co COL,"MF,DF",Brighton,20,1998,19,12,"1,188",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.7,0.09,0.05,0.15,0.09,0.15,Matches
18,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,26,1993,11,8,759,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,0.12,0.00,0.12,0.12,0.12,Matches
19,Felipe Anderson,br BRA,"MF,FW",West Ham,26,1993,25,20,"1,497",1,4,0,0,1,0,0.06,0.24,0.30,0.06,0.30,2.5,2.5,2.9,0.15,0.18,0.32,0.15,0.32,Matches
20,Florin Andone,ro ROU,"MF,FW",Brighton,26,1993,3,1,73,1,0,0,0,0,1,1.23,0.00,1.23,1.23,1.23,0.1,0.1,0.0,0.14,0.06,0.20,0.14,0.20,Matches
21,Angeliño,es ESP,DF,Manchester City,22,1997,6,4,423,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,0.05,0.26,0.31,0.05,0.31,Matches
22,Faustino Anjorin,eng ENG,FW,Chelsea,17,2001,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
23,Michail Antonio,eng ENG,FW,West Ham,29,1990,24,19,"1,768",10,3,1,1,3,0,0.51,0.15,0.66,0.46,0.61,11.6,10.8,2.8,0.59,0.14,0.73,0.55,0.69,Matches
24,Stuart Armstrong,sco SCO,MF,Southampton,27,1992,30,19,"1,715",5,3,0,0,4,0,0.26,0.16,0.42,0.26,0.42,2.8,2.8,1.1,0.15,0.06,0.21,0.15,0.21,Matches
25,Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,"2,970",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
26,Christian Atsu,gh GHA,"FW,MF",Newcastle Utd,27,1992,19,6,749,0,3,0,0,2,0,0.00,0.36,0.36,0.00,0.36,0.2,0.2,0.9,0.02,0.11,0.13,0.02,0.13,Matches
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
