Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls2,Ast3,G+A,G-PK,G+A-PK,xG,npxG,xA,xG4,xA5,xG+xA,npxG6,npxG+xA,Matches
David McGoldrick\David-McGoldrick,ie IRL,MF,Sheffield Utd,32,1987,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,28,1992,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,20,2000,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Yerry Mina\Yerry-Mina,co COL,DF,Everton,25,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,20,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,25,1994,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
Wilfred Ndidi\Wilfred-Ndidi,ng NGA,DF,Leicester City,23,1996,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,23,1996,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Pedro Neto\Pedro-Neto,pt POR,MF,Wolves,20,2000,1,1,68,0,1,0,0,0,0,0,1.32,1.32,0,1.32,0,0,0,0,0.04,0.04,0,0.04,Matches
Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,23,1997,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,0,0.24,Matches
Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,21,1999,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mark Noble\Mark-Noble,eng ENG,MF,West Ham,33,1987,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,29,1991,1,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,26,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dara O'Shea\Dara-OShea,ie IRL,DF,West Brom,21,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Denis Odoi\Denis-Odoi,be BEL,DF,Fulham,32,1988,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,32,1988,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Josh Onomah\Josh-Onomah,eng ENG,MF,Fulham,23,1997,1,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,32,1988,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ayoze Pérez\Ayoze-Perez,es ESP,MF,Leicester City,27,1993,1,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,26,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Tim Ream\Tim-Ream,us USA,DF,Fulham,32,1987,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harrison Reed\Harrison-Reed,eng ENG,MF,Fulham,25,1995,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bobby Reid\Bobby-Reid,jm JAM,MF,Fulham,27,1993,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
Tyler Roberts\Tyler-Roberts,wal WAL,MF,Leeds United,21,1999,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Callum Robinson\Callum-Robinson,ie IRL,FW,West Brom,25,1995,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,23,1996,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rodrigo\Rodrigo,es ESP,FW,Leeds United,29,1991,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,28,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28,1992,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MF,Newcastle Utd,23,1997,1,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
Romaine Sawyers\Romaine-Sawyers,kn SKN,MF,West Brom,28,1991,1,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Crystal Palace,27,1992,1,1,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,33,1986,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jamie Shackleton\Jamie-Shackleton,eng ENG,MF,Leeds United,20,1999,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,30,1989,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Moussa Sissoko\Moussa-Sissoko,fr FRA,MFDF,Tottenham,30,1989,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
William Smallbone\William-Smallbone,ie IRL,MF,Southampton,20,2000,1,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,24,1996,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Pascal Struijk\Pascal-Struijk,nl NED,DF,Leeds United,20,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,23,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,23,1997,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Vitinha\Vitinha,pt POR,MF,Wolves,20,2000,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,30,1989,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adam Webster\Adam-Webster,eng ENG,DF,Brighton,25,1995,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04,Matches
Ben White\Ben-White,eng ENG,DF,Brighton,22,1997,1,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,24,1996,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,FW,Fulham,24,1995,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
