Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,19,12,1188,0,0,0,0,1,0,0,0,0,0,0,1.2,1.2,0.7,0.09,0.05,0.15,0.09,0.15,Matches
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,11,8,759,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.12,0,0.12,0.12,0.12,Matches
Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,25,20,1497,1,4,0,0,1,0,0.06,0.24,0.3,0.06,0.3,2.5,2.5,2.9,0.15,0.18,0.32,0.15,0.32,Matches
Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,3,1,73,1,0,0,0,0,1,1.23,0,1.23,1.23,1.23,0.1,0.1,0,0.14,0.06,0.2,0.14,0.2,Matches
Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,6,4,423,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.2,0.05,0.26,0.31,0.05,0.31,Matches
Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,24,19,1768,10,3,1,1,3,0,0.51,0.15,0.66,0.46,0.61,11.6,10.8,2.8,0.59,0.14,0.73,0.55,0.69,Matches
Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,30,19,1715,5,3,0,0,4,0,0.26,0.16,0.42,0.26,0.42,2.8,2.8,1.1,0.15,0.06,0.21,0.15,0.21,Matches
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33,33,2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,19,6,749,0,3,0,0,2,0,0,0.36,0.36,0,0.36,0.2,0.2,0.9,0.02,0.11,0.13,0.02,0.13,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,36,35,3136,22,3,2,2,3,1,0.63,0.09,0.72,0.57,0.66,15.7,14.2,3,0.45,0.09,0.54,0.41,0.49,Matches
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,33,31,2700,1,5,0,0,4,1,0.03,0.17,0.2,0.03,0.2,0.5,0.5,3,0.02,0.1,0.12,0.02,0.12,Matches
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,37,37,3148,9,2,0,0,6,0,0.26,0.06,0.31,0.26,0.31,6.3,6.3,1.9,0.18,0.05,0.24,0.18,0.24,Matches
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,3229,2,6,0,0,1,0,0.06,0.17,0.22,0.06,0.22,2.7,2.7,5.7,0.07,0.16,0.23,0.07,0.23,Matches
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,8,4,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.01,0.18,0.19,0.01,0.19,Matches
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,17,13,1177,1,0,0,0,2,0,0.08,0,0.08,0.08,0.08,1.8,1.8,0,0.14,0,0.14,0.14,0.14,Matches
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38,38,3420,2,3,0,0,7,0,0.05,0.08,0.13,0.05,0.13,0.9,0.9,2.5,0.02,0.07,0.09,0.02,0.09,Matches
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21,21,1890,0,1,0,0,6,0,0,0.05,0.05,0,0.05,0.2,0.2,0.7,0.01,0.03,0.05,0.01,0.05,Matches
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,21,13,1103,1,4,0,0,0,0,0.08,0.33,0.41,0.08,0.41,2.1,2.1,2.7,0.17,0.22,0.4,0.17,0.4,Matches
Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,19,17,1352,6,0,1,1,4,0,0.4,0,0.4,0.33,0.33,5.6,4.8,0.5,0.37,0.03,0.41,0.32,0.36,Matches
Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,36,24,2083,6,8,0,0,0,0,0.26,0.35,0.6,0.26,0.6,8.6,8.6,3.5,0.37,0.15,0.52,0.37,0.52,Matches
Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,3242,0,1,0,0,4,0,0,0.03,0.03,0,0.03,0.5,0.5,1,0.01,0.03,0.04,0.01,0.04,Matches
Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,16,1,239,1,1,0,0,0,0,0.38,0.38,0.75,0.38,0.75,2.2,2.2,0.2,0.83,0.07,0.9,0.83,0.9,Matches
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34,34,3057,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,0.9,0.9,0.1,0.03,0,0.03,0.03,0.03,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,15,13,1158,1,0,0,0,2,0,0.08,0,0.08,0.08,0.08,0.5,0.5,0.3,0.04,0.03,0.06,0.04,0.06,Matches
Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02,Matches
Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,5,3,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,12,8,751,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,24,13,1261,2,1,0,0,4,1,0.14,0.07,0.21,0.14,0.21,4.9,4.9,2.1,0.35,0.15,0.5,0.35,0.5,Matches
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,12,6,621,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,1.1,1.1,0.8,0.16,0.12,0.28,0.16,0.28,Matches
Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,14,12,943,1,1,0,0,0,0,0.1,0.1,0.19,0.1,0.19,0.5,0.5,0.4,0.04,0.04,0.08,0.04,0.08,Matches
Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,14,8,704,3,1,0,0,2,0,0.38,0.13,0.51,0.38,0.51,1.2,1.2,1,0.15,0.12,0.27,0.15,0.27,Matches
Bernard\Bernard,br BRA,MFFW,Everton,26,1992,27,15,1280,3,2,0,0,2,0,0.21,0.14,0.35,0.21,0.35,1.1,1.1,2,0.08,0.14,0.22,0.08,0.22,Matches
Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,14,7,679,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.2,0.03,0.02,0.06,0.03,0.06,Matches
Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,32,31,2742,1,1,0,0,3,1,0.03,0.03,0.07,0.03,0.07,1.7,1.7,3.6,0.05,0.12,0.17,0.05,0.17,Matches
Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.05,0.03,0.08,0.05,0.08,Matches
Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,34,29,2530,1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,2.5,2.5,1.1,0.09,0.04,0.13,0.09,0.13,Matches
Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,22,15,1259,1,0,0,0,4,0,0.07,0,0.07,0.07,0.07,0.4,0.4,0.2,0.03,0.01,0.04,0.03,0.04,Matches
Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22,22,1979,0,1,0,0,3,1,0,0.05,0.05,0,0.05,0.3,0.3,0.3,0.01,0.02,0.03,0.01,0.03,Matches
Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.21,0.21,0,0.21,Matches
Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,20,8,764,0,2,0,0,2,0,0,0.24,0.24,0,0.24,1,1,2.7,0.12,0.32,0.44,0.12,0.44,Matches
Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,13,11,917,1,4,0,0,0,0,0.1,0.39,0.49,0.1,0.49,1.8,1.8,2.3,0.17,0.22,0.4,0.17,0.4,Matches
Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,17,5,454,1,2,0,0,1,0,0.2,0.4,0.59,0.2,0.59,1.1,1.1,0.3,0.21,0.06,0.27,0.21,0.27,Matches
Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,4,2,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,9,8,506,1,0,0,0,1,0,0.18,0,0.18,0.18,0.18,0.8,0.8,0.4,0.14,0.07,0.21,0.14,0.21,Matches
Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,10,9,805,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0.1,0.05,0.02,0.07,0.05,0.07,Matches
Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,36,28,2464,1,7,0,0,6,1,0.04,0.26,0.29,0.04,0.29,2.3,2.3,7.2,0.08,0.26,0.35,0.08,0.35,Matches
Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,34,33,2880,0,0,0,0,5,0,0,0,0,0,0,1.3,1.3,1.2,0.04,0.04,0.08,0.04,0.08,Matches
Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,17,15,1293,0,0,0,0,4,0,0,0,0,0,0,1.1,1.1,0.5,0.08,0.04,0.12,0.08,0.12,Matches
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
