,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,PrgDist,Carries,PrgDist.1,Succ,TotDist,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos
1,2019-07-02,Tue,Copa América,Semi-finals,Neutral,W 2–0,br Brazil,ar Argentina,Y,GK,90,2,0,2,1.000,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-07-07,Sun,Copa América,Final,Neutral,W 3–1,br Brazil,pe Peru,Y,GK,90,1,1,1,1.000,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-04,Sun,Community Shield,FA Community Shield,Neutral,L 1 (4)–1 (5),Liverpool,Manchester City,Y,GK,120,3,1,2,.667,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-09,Fri,Premier League,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,Y,GK,38,2,0,2,1.000,0,0.2,2,3,66.7,9,1,22.2,32.7,3,33.3,27.7,2,0,0.0,1,25.0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,0,0,157,6,10,0,276,0,,6,85.7,4,5,80.0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,9,0,3,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,11,0,,0,0,6,6,100.0,0,0
6,2019-10-20,Sun,Premier League,Matchweek 9,Away,D 1–1,Liverpool,Manchester Utd,Y,GK,90,2,1,1,.500,0,0.7,6,8,75.0,33,5,18.2,31.6,4,50.0,40.3,9,0,0.0,0,10.0,0,0,0,0,0,0,0,0,38,0,0,0,0,0.0,0.0,0.0,0,0,530,21,40,0,1054,0,,15,100.0,19,22,86.4,0,0,0,0,0,30,7,3,0,2,0,0,0,0,0,24,2,11,1,31,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,33,0,,0,0,22,22,100.0,0,0
7,2019-10-23,Wed,Champions Lg,Group stage,Away,W 4–1,eng Liverpool,be Genk,Y,GK,90,3,1,2,.667,0,0.5,5,5,100.0,34,7,11.8,25.8,5,20.0,23.8,7,1,14.3,2,17.4,0,0,0,0,0,0,0,0,40,0,0,0,0,0.0,0.0,0.0,0,0,501,20,38,0,998,0,,22,100.0,17,17,100.0,0,0,0,0,0,33,6,1,0,2,0,0,0,0,0,34,4,1,5,26,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,29,0,,0,0,23,23,100.0,0,0
8,2019-10-27,Sun,Premier League,Matchweek 10,Home,W 2–1,Liverpool,Tottenham,Y,GK,90,4,1,3,.750,0,1.2,6,14,42.9,28,3,39.3,38.5,9,33.3,33.3,6,0,0.0,1,16.2,0,0,0,0,0,0,0,0,38,1,0,0,0,0.0,0.0,0.0,0,0,423,20,32,0,835,0,,15,100.0,14,22,63.6,0,0,0,0,0,25,12,3,0,4,0,0,0,0,0,21,2,14,2,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,,0,0,34,0,,0,0,18,18,100.0,0,0
10,2019-11-02,Sat,Premier League,Matchweek 11,Away,W 2–1,Liverpool,Aston Villa,Y,GK,90,2,1,1,.500,0,0.4,2,4,50.0,12,1,25.0,25.9,4,25.0,30.3,9,0,0.0,2,27.7,0,0,0,0,0,0,0,0,18,1,0,0,0,0.0,0.0,0.0,0,0,207,10,22,0,320,0,,11,100.0,3,5,60.0,0,0,0,0,0,12,4,0,0,1,0,0,0,0,0,11,1,4,2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100.0,1,0,0,0,0,,0,0,12,0,,0,0,9,9,100.0,0,0
11,2019-11-05,Tue,Champions Lg,Group stage,Home,W 2–1,eng Liverpool,be Genk,Y,GK,90,3,1,2,.667,0,0.8,9,12,75.0,25,3,36.0,35.6,7,42.9,39.7,9,1,11.1,1,19.8,0,0,0,0,0,0,0,0,34,0,0,0,0,0.0,0.0,0.0,2,0,500,16,51,0,919,0,,12,100.0,17,20,85.0,0,0,0,0,0,23,9,2,1,5,0,0,0,0,0,21,2,9,1,25,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,28,0,,0,0,14,14,100.0,0,0
12,2019-11-10,Sun,Premier League,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,Y,GK,90,3,1,2,.667,0,0.7,7,19,36.8,46,7,30.4,36.1,10,50.0,43.7,15,2,13.3,0,12.7,0,0,0,0,0,0,0,0,60,0,0,0,0,0.0,0.0,0.0,1,0,598,39,95,0,1162,0,,25,100.0,17,31,54.8,0,0,0,0,0,42,14,4,0,0,0,0,0,0,0,33,3,20,2,41,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,58,0,,0,0,29,29,100.0,1,0
