,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–3,Newcastle Utd,Norwich City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-25,Sun,Premier League,Matchweek 3,Away,W 1–0,Newcastle Utd,Tottenham,N,CB,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,4,0,4,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,
4,2019-08-28,Wed,EFL Cup,Second round,Home,L 1 (2)–1 (4),Newcastle Utd,Leicester City,Y,CB,120,0,0,0,0,0,0,1,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,D 1–1,Newcastle Utd,Watford,N,CB,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,5,2,5,0,0,28,0,,2,3,66.7,0,1,0.0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,1,0,0,0,,0,0,1,0,,0,0,2,2,100.0,0,0,0,0,0,0,2,1,0,100.0
6,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 1–3,Newcastle Utd,Liverpool,N,CB,11,0,0,0,0,0,0,0,0,7,1,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,23,5,3,0,0,117,0,,4,4,100.0,2,2,100.0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0.0,0,1,0,0,0,,0,0,2,0,,0,0,5,5,100.0,0,0,0,0,0,0,1,0,0,
7,2019-09-21,Sat,Premier League,Matchweek 6,Home,D 0–0,Newcastle Utd,Brighton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-29,Sun,Premier League,Matchweek 7,Away,L 0–5,Newcastle Utd,Leicester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-10-27,Sun,Premier League,Matchweek 10,Home,D 1–1,Newcastle Utd,Wolves,Y,CB,90,0,1,0,0,0,0,0,0,68,11,4,0,0,0.0,0.0,0.1,2,1,45,54,83.3,441,28,70,0,0,878,0,0.0,35,40,87.5,10,13,76.9,1,3,3,2,7,46,8,1,0,0,2,0,0,0,0,33,3,18,2,42,1,7,0,1,1,2,0,0,0,1,0,0,0,0,0,3,3,1,0,2,40.0,3,27.3,5,4,2,0,0,,9,0,11,1,,0,0,42,40,95.2,0,0,0,1,0,0,6,3,1,75.0
11,2019-11-02,Sat,Premier League,Matchweek 11,Away,W 3–2,Newcastle Utd,West Ham,Y,CB,90,1,0,0,0,1,1,1,0,49,13,3,0,2,0.2,0.2,0.0,0,0,15,29,51.7,319,16,23,0,0,411,0,0.0,8,10,80.0,7,17,41.2,0,3,1,0,6,24,5,1,1,1,1,0,0,0,0,8,7,14,1,23,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,100.0,0,7.7,11,2,0,0,2,,14,0,13,1,,0,0,20,20,100.0,0,0,0,1,0,0,5,2,0,100.0
