,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Away,W 3–0,Brighton,Watford,Y,CB,90,0,0,0,0,0,0,0,0,76,11,0,3,1,0.0,0.0,0.0,0,0,49,60,81.7,318,47,129,0,1,1006,0,0.0,35,37,94.6,14,19,73.7,0,3,1,0,1,57,3,0,0,0,0,0,0,0,0,44,6,10,53,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,72.7,7,4,0,0,0,,12,0,9,0,0.0,0,0,47,47,100.0,0,0,0,1,0,0,9,5,1,83.3
2,2019-08-17,Sat,Premier League,Matchweek 2,Home,D 1–1,Brighton,West Ham,Y,CB,90,0,0,0,0,3,0,0,0,63,12,3,0,2,0.2,0.2,0.4,2,0,38,48,79.2,131,43,93,0,1,755,2,40.0,23,28,82.1,13,15,86.7,2,3,1,1,1,45,3,0,0,2,2,0,0,0,0,34,7,7,32,9,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0.0,2,41.7,9,2,1,0,2,,5,0,6,4,0.0,0,0,44,40,90.9,2,0,0,1,0,0,9,5,1,83.3
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 0–2,Brighton,Southampton,Y,"LB,CB",90,0,0,0,0,0,0,0,0,75,12,0,2,2,0.0,0.0,0.0,1,0,47,66,71.2,374,38,151,1,2,893,3,50.0,30,35,85.7,14,25,56.0,1,5,1,0,10,53,13,0,0,1,2,0,0,0,0,28,9,29,36,7,4,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,50.0,9,2,1,0,1,,2,0,4,1,50.0,1,1,41,37,90.2,0,2,0,1,0,0,19,7,1,87.5
5,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 0–4,Brighton,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,72,22,2,3,1,0.0,0.0,0.0,0,0,46,61,75.4,282,46,128,1,1,822,1,50.0,42,47,89.4,3,12,25.0,0,3,1,0,3,54,7,1,0,1,3,0,0,0,0,37,11,13,40,11,2,6,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,33.3,2,18.2,15,7,0,0,1,,4,0,8,0,100.0,1,0,53,48,90.6,0,1,0,2,0,0,8,2,0,100.0
6,2019-09-14,Sat,Premier League,Matchweek 5,Home,D 1–1,Brighton,Burnley,Y,WB,90,0,0,0,0,0,0,0,0,82,19,4,1,2,0.0,0.0,0.0,2,0,50,67,74.6,331,47,129,1,3,690,1,20.0,45,52,86.5,4,10,40.0,0,3,1,0,8,51,16,0,0,1,3,0,0,0,0,32,10,25,41,4,5,16,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1,2,1,2,66.7,1,47.4,10,5,4,0,2,,0,0,1,1,33.3,1,0,48,41,85.4,3,1,0,1,0,0,16,1,3,25.0
7,2019-09-21,Sat,Premier League,Matchweek 6,Away,D 0–0,Brighton,Newcastle Utd,Y,"CB,LB",90,0,0,0,0,0,0,0,0,100,16,2,0,2,0.0,0.0,0.0,2,0,80,86,93.0,400,68,171,1,1,1341,1,50.0,70,72,97.2,9,12,75.0,1,8,1,1,6,76,10,2,0,2,2,0,0,0,0,63,14,9,68,5,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,2,25.0,6,5,5,0,2,,3,0,5,0,100.0,1,0,76,72,94.7,3,4,0,2,0,0,8,2,2,50.0
9,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Brighton,Chelsea,Y,CB,90,0,0,0,0,2,0,0,0,69,17,1,1,4,0.2,0.2,0.0,0,0,42,48,87.5,93,41,125,2,3,752,0,0.0,34,36,94.4,8,11,72.7,0,0,0,0,0,42,6,0,0,0,2,0,0,0,0,28,12,8,32,6,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,47.1,11,5,1,0,0,,7,0,11,2,66.7,2,0,42,38,90.5,0,4,0,0,0,0,11,4,0,100.0
10,2019-10-05,Sat,Premier League,Matchweek 8,Home,W 3–0,Brighton,Tottenham,Y,"LB,CB",90,0,0,0,0,1,0,0,0,69,25,4,3,0,0.1,0.1,0.1,4,1,38,51,74.5,279,45,124,3,6,619,0,0.0,32,34,94.1,6,12,50.0,2,4,2,1,6,40,11,0,0,0,2,0,0,0,0,26,16,9,36,3,1,11,0,0,4,4,0,0,0,1,0,0,0,0,0,1,2,0,2,2,33.3,4,24.0,13,7,5,0,0,,6,0,3,1,50.0,4,0,46,42,91.3,2,0,0,2,0,0,3,1,0,100.0
11,2019-10-19,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,60,22,1,2,2,0.0,0.0,0.0,2,0,34,50,68.0,268,34,132,1,1,578,0,0.0,30,37,81.1,4,10,40.0,2,2,2,1,3,44,6,0,0,1,4,0,0,0,0,23,14,13,32,3,4,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2,36.4,16,5,1,0,2,,3,0,8,0,100.0,1,0,41,38,92.7,1,1,0,2,0,0,8,7,0,100.0
12,2019-10-26,Sat,Premier League,Matchweek 10,Home,W 3–2,Brighton,Everton,Y,LB,90,0,0,0,0,0,0,0,0,72,17,4,2,4,0.0,0.0,0.0,1,1,48,54,88.9,295,37,136,2,2,916,0,,39,44,88.6,9,10,90.0,0,3,1,0,4,46,8,0,1,1,0,0,0,0,0,39,9,6,39,4,3,8,0,0,1,1,0,0,0,1,0,0,0,0,0,4,3,1,0,2,100.0,0,35.3,11,5,1,0,3,,6,0,6,1,100.0,2,0,38,35,92.1,1,0,0,0,0,0,11,1,1,50.0
