,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-07-25,Thu,Europa Lg,Second qualifying round,Home,W 2–0,eng Wolves,nir Crusaders,Y,RM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2,2019-08-01,Thu,Europa Lg,Second qualifying round,Away,W 4–1,eng Wolves,nir Crusaders,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4,2019-08-11,Sun,Premier League,Matchweek 1,Away,D 0–0,Wolves,Leicester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-15,Thu,Europa Lg,Third qualifying round,Home,W 4–0,eng Wolves,am Pyunik,Y,RB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
6,2019-08-19,Mon,Premier League,Matchweek 2,Home,D 1–1,Wolves,Manchester Utd,N,WB,45,0,0,0,0,1,0,0,0,36,8,0,0,1,0.1,0.1,0.1,3,0,18,28,64.3,86,26,145,2,5,320,0,0.0,14,19,73.7,4,8,50.0,1,3,1,1,4,21,7,0,0,1,4,0,0,0,0,13,4,11,1,19,0,7,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,25.0,3,3,2,0,1,,0,0,0,2,40.0,2,0,23,21,91.3,0,0,0,1,0,0,5,1,0,100.0
7,2019-08-22,Thu,Europa Lg,Play-off Round,Away,W 3–2,eng Wolves,it Torino,Y,RB,63,0,1,0,0,0,0,0,0,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
8,2019-08-25,Sun,Premier League,Matchweek 3,Home,D 1–1,Wolves,Burnley,N,WB,15,0,0,0,0,1,0,0,0,18,1,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,27,16,154,2,3,142,0,0.0,8,10,80.0,0,0,,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,8,2,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,0,1,0,0,,2,0,1,3,66.7,2,0,14,13,92.9,0,0,0,1,0,0,3,3,0,100.0
9,2019-08-29,Thu,Europa Lg,Play-off Round,Home,W 2–1,eng Wolves,it Torino,Y,RM,90,0,1,0,0,1,1,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,
10,2019-09-01,Sun,Premier League,Matchweek 4,Away,L 2–3,Wolves,Everton,Y,WB,90,0,0,0,0,0,0,0,0,42,6,2,1,2,0.0,0.0,0.0,0,0,16,29,55.2,144,28,140,5,5,348,0,,12,16,75.0,4,13,30.8,0,1,0,0,2,25,4,0,0,0,2,0,0,0,0,11,2,16,1,19,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,2,66.7,2,4,0,0,2,,0,0,2,1,100.0,5,0,30,20,66.7,1,5,0,0,0,0,13,2,2,50.0
11,2019-09-14,Sat,Premier League,Matchweek 5,Home,L 2–5,Wolves,Chelsea,Y,WB,55,0,0,0,0,0,0,0,0,39,9,1,0,2,0.0,0.0,0.1,2,0,25,31,80.6,194,29,182,2,3,386,0,0.0,24,26,92.3,1,3,33.3,1,0,2,1,5,22,9,0,0,1,3,0,0,0,0,16,6,9,3,19,0,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,100.0,0,33.3,4,1,4,0,1,,0,0,3,0,66.7,3,1,27,23,85.2,1,1,0,1,0,0,3,0,0,
