,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Away,L 1–3,Aston Villa,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,26,6,0,1,2,0.0,0.0,0.0,0,0,13,15,86.7,98,12,46,1,1,275,0,,11,12,91.7,2,3,66.7,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,10,2,3,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,16.7,5,1,0,0,0,,7,0,12,0,100.0,1,0,9,9,100.0,0,0,0,0,0,0,6,2,2,50.0
2,2019-08-17,Sat,Premier League,Matchweek 2,Home,L 1–2,Aston Villa,Bournemouth,Y,CB,90,0,0,0,0,1,0,0,0,62,7,0,2,1,0.1,0.1,0.0,0,0,49,55,89.1,293,36,115,0,0,1119,0,0.0,30,32,93.8,19,22,86.4,0,3,0,0,5,54,1,1,0,2,1,0,0,0,0,38,7,10,6,42,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,28.6,5,1,1,0,0,,4,0,6,2,,0,0,40,40,100.0,0,0,0,1,0,0,13,11,3,78.6
3,2019-08-23,Fri,Premier League,Matchweek 3,Home,W 2–0,Aston Villa,Everton,Y,CB,90,0,0,0,0,0,0,0,0,47,6,1,1,4,0.0,0.0,0.0,0,0,26,33,78.8,194,23,121,0,0,667,0,,15,17,88.2,11,16,68.8,0,2,0,0,5,32,1,1,0,2,0,0,0,0,0,19,4,10,2,28,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,16.7,4,2,0,0,0,,8,0,10,1,,0,0,25,24,96.0,0,0,0,0,0,0,8,4,2,66.7
5,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 0–1,Aston Villa,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,70,5,0,1,1,0.0,0.0,0.0,0,0,54,61,88.5,440,48,195,1,1,1339,2,66.7,32,33,97.0,20,25,80.0,0,13,0,0,6,58,3,2,0,4,0,0,0,0,0,42,6,13,4,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,40.0,4,1,0,0,1,,5,1,8,0,100.0,1,0,53,53,100.0,0,0,0,0,0,0,5,2,0,100.0
6,2019-09-16,Mon,Premier League,Matchweek 5,Home,D 0–0,Aston Villa,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,53,5,0,0,1,0.0,0.0,0.0,0,0,40,48,83.3,282,34,138,0,0,870,0,,24,27,88.9,16,21,76.2,0,4,0,0,1,44,4,4,0,0,0,0,0,0,0,34,6,8,6,38,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,80.0,2,3,0,0,0,,4,0,5,0,,0,0,35,34,97.1,0,0,0,0,0,0,8,3,3,50.0
7,2019-09-22,Sun,Premier League,Matchweek 6,Away,L 2–3,Aston Villa,Arsenal,Y,CB,90,0,0,0,0,0,0,1,0,38,3,2,0,2,0.0,0.0,0.0,2,0,21,25,84.0,285,18,38,0,0,506,0,,13,15,86.7,8,10,80.0,0,2,0,0,0,23,2,2,0,2,1,0,0,0,0,16,3,6,0,24,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,100.0,0,0.0,3,0,0,0,2,,10,0,10,0,,0,0,21,18,85.7,0,0,0,2,0,1,4,2,2,50.0
9,2019-09-28,Sat,Premier League,Matchweek 7,Home,D 2–2,Aston Villa,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,58,4,0,0,0,0.0,0.0,0.0,0,0,42,51,82.4,227,35,162,0,0,830,1,100.0,27,28,96.4,14,22,63.6,0,2,0,0,3,50,1,1,0,1,0,0,0,0,0,32,8,11,4,40,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,25.0,3,1,0,0,0,,5,0,2,0,,0,0,36,36,100.0,0,0,0,0,0,0,15,7,1,87.5
10,2019-10-05,Sat,Premier League,Matchweek 8,Away,W 5–1,Aston Villa,Norwich City,Y,CB,74,0,0,0,0,1,0,0,0,31,3,1,2,1,0.1,0.1,0.0,0,0,19,21,90.5,151,17,22,0,0,436,0,0.0,13,14,92.9,6,6,100.0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,16,2,3,3,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,66.7,1,2,0,0,0,,6,0,7,1,,0,0,15,15,100.0,0,0,0,0,0,0,6,1,0,100.0
11,2019-10-19,Sat,Premier League,Matchweek 9,Home,W 2–1,Aston Villa,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,54,4,0,0,1,0.0,0.0,0.0,0,0,42,49,85.7,432,42,181,0,0,1021,0,,25,29,86.2,17,20,85.0,0,7,0,0,4,48,1,1,0,2,0,0,0,0,0,40,1,8,2,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,50.0,3,1,0,0,0,,3,0,9,0,,0,0,47,46,97.9,0,0,0,0,0,0,3,0,3,0.0
12,2019-10-26,Sat,Premier League,Matchweek 10,Away,L 0–3,Aston Villa,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,45,2,1,0,2,0.0,0.0,0.0,0,0,29,34,85.3,165,30,18,0,0,643,0,,20,21,95.2,9,13,69.2,0,0,0,0,0,33,1,1,0,0,0,0,0,0,0,25,3,6,1,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,50.0,1,0.0,2,0,0,0,0,,8,0,13,0,,0,0,29,29,100.0,0,0,0,0,0,0,4,0,3,0.0
