,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Away,L 0–4,Chelsea,Manchester Utd,N,CM,18,0,0,0,0,0,0,1,0,13,9,3,0,0,0.0,0.0,0.0,0,0,7,9,77.8,6,7,12,0,0,82,0,,7,8,87.5,0,1,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,7,1,1,1,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,66.7,1,33.3,6,2,1,0,0,,0,0,1,0,,0,0,11,9,81.8,1,0,0,1,0,0,1,0,0,
2,2019-08-14,Wed,Super Cup,UEFA Super Cup,Away,L 2 (4)–2 (5),eng Chelsea,eng Liverpool,Y,CM,120,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,,,
3,2019-08-18,Sun,Premier League,Matchweek 2,Home,D 1–1,Chelsea,Leicester City,Y,DM,90,0,0,0,0,1,0,0,0,68,24,4,0,1,0.4,0.4,0.0,2,0,44,53,83.0,190,38,180,0,2,801,1,50.0,33,36,91.7,10,15,66.7,1,5,0,0,5,52,1,1,0,3,1,0,0,0,0,35,11,7,7,43,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,3,1,0,0,0.0,3,29.2,6,8,10,0,1,,2,0,3,1,0.0,0,0,46,42,91.3,1,0,0,1,0,0,12,0,0,
5,2019-09-22,Sun,Premier League,Matchweek 6,Home,L 1–2,Chelsea,Liverpool,Y,CM,90,1,0,0,0,2,1,0,0,55,19,1,1,3,0.1,0.1,0.0,1,0,32,40,80.0,161,41,77,2,5,454,3,100.0,25,32,78.1,4,5,80.0,0,1,0,0,4,40,0,0,0,0,1,0,0,0,0,32,6,2,10,25,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,36.8,7,11,1,0,3,,1,0,6,3,40.0,2,1,41,33,80.5,2,1,0,1,0,0,16,2,3,40.0
7,2019-10-02,Wed,Champions Lg,Group stage,Away,W 2–1,eng Chelsea,fr Lille,Y,CM,90,0,0,0,0,0,0,0,0,60,25,6,0,1,0.0,0.0,0.0,3,1,45,47,95.7,229,46,128,3,3,829,1,100.0,34,36,94.4,10,10,100.0,0,3,1,0,7,47,0,0,0,0,0,0,0,0,0,41,2,4,6,39,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4,0,4,2,3,50.0,3,44.0,4,16,5,0,1,,1,0,2,0,100.0,3,1,45,39,86.7,1,2,0,0,0,0,10,1,1,50.0
8,2019-10-06,Sun,Premier League,Matchweek 8,Away,W 4–1,Chelsea,Southampton,Y,DM,90,1,0,0,0,1,1,0,0,53,28,6,6,4,0.0,0.0,0.0,1,0,23,34,67.6,119,36,111,1,3,449,1,50.0,18,26,69.2,4,6,66.7,1,2,0,0,2,34,0,0,0,1,0,0,0,0,0,20,5,9,5,25,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,4,0,2,66.7,1,10.7,8,17,3,0,4,,1,0,2,0,33.3,1,0,42,27,64.3,1,1,0,5,0,0,9,0,1,0.0
9,2019-10-14,Mon,Euro Qualifying,Group stage,Home,D 1–1,fr France,tr Turkey,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-11-05,Tue,Champions Lg,Group stage,Home,D 4–4,eng Chelsea,nl Ajax,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019-11-09,Sat,Premier League,Matchweek 12,Home,W 2–0,Chelsea,Crystal Palace,Y,DM,90,0,0,0,0,1,0,0,0,92,17,2,4,4,0.1,0.1,0.3,5,0,71,79,89.9,361,76,173,0,0,1443,0,0.0,53,59,89.8,18,19,94.7,2,10,3,2,12,78,1,1,0,1,2,0,0,0,0,59,10,10,11,66,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,2,41.2,4,10,3,0,4,,0,0,1,3,,0,0,72,71,98.6,1,3,0,2,0,0,9,1,3,25.0
12,2019-11-14,Thu,Euro Qualifying,Group stage,Home,W 2–1,fr France,md Moldova,Y,DM,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
13,2019-11-17,Sun,Euro Qualifying,Group stage,Away,W 2–0,fr France,al Albania,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2019-11-23,Sat,Premier League,Matchweek 13,Away,L 1–2,Chelsea,Manchester City,Y,"CM,DM",90,1,0,0,0,2,1,0,0,61,30,4,3,2,0.5,0.5,0.2,4,0,39,43,90.7,138,44,139,2,4,713,2,100.0,28,31,90.3,9,10,90.0,2,2,4,0,5,43,0,0,0,1,1,0,0,0,0,34,7,2,6,37,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,3,2,2,0,2,100.0,0,26.7,12,12,6,0,2,,0,0,1,2,50.0,2,0,48,42,87.5,1,2,0,1,0,0,8,0,0,
15,2019-11-27,Wed,Champions Lg,Group stage,Away,D 2–2,eng Chelsea,es Valencia,Y,"CM,DM",90,0,0,0,0,1,0,1,0,51,29,1,1,3,0.2,0.2,0.6,4,1,35,40,87.5,224,35,189,1,1,613,0,,27,30,90.0,8,10,80.0,2,1,4,2,4,39,1,1,0,2,2,0,0,0,0,23,10,7,3,33,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,1,13.8,9,9,11,0,3,,0,0,2,2,100.0,1,0,32,31,96.9,1,0,0,4,0,0,10,0,2,0.0
16,2019-11-30,Sat,Premier League,Matchweek 14,Home,L 0–1,Chelsea,West Ham,N,CM,28,0,0,0,0,0,0,0,0,30,4,0,0,1,0.0,0.0,0.4,2,0,19,24,79.2,94,23,105,0,1,258,0,,17,22,77.3,2,2,100.0,2,1,2,0,3,23,1,1,0,0,1,0,0,0,0,20,1,3,4,17,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,3,1,0,1,,0,0,0,0,0.0,1,0,26,21,80.8,1,2,0,0,0,0,5,1,0,100.0
17,2019-12-04,Wed,Premier League,Matchweek 15,Home,W 2–1,Chelsea,Aston Villa,Y,DM,90,0,0,0,0,2,0,0,0,118,30,1,0,2,0.1,0.1,0.1,7,0,95,107,88.8,427,88,223,2,3,1557,3,42.9,82,89,92.1,10,11,90.9,3,9,2,2,10,107,0,0,0,1,2,0,0,0,0,83,14,10,10,93,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,2,16.7,13,14,3,0,2,,0,0,0,2,66.7,2,0,94,91,96.8,1,2,0,3,0,0,22,2,2,50.0
18,2019-12-07,Sat,Premier League,Matchweek 16,Away,L 1–3,Chelsea,Everton,Y,DM,90,0,0,0,0,0,0,0,0,93,19,3,2,1,0.0,0.0,0.3,5,0,64,75,85.3,381,65,253,7,9,1146,2,40.0,47,52,90.4,15,18,83.3,3,8,4,2,11,75,0,0,0,2,2,0,0,0,0,56,10,9,13,60,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0,2,3,0,0,1,20.0,4,31.6,9,9,1,0,0,,4,0,8,2,77.8,7,0,63,62,98.4,1,4,0,2,0,0,17,0,1,0.0
19,2019-12-10,Tue,Champions Lg,Group stage,Home,W 2–1,eng Chelsea,fr Lille,Y,CM,90,0,0,0,0,2,0,0,0,84,24,3,0,2,0.1,0.1,0.2,7,0,60,68,88.2,237,63,184,2,2,818,4,57.1,51,56,91.1,5,5,100.0,3,6,3,1,9,68,0,0,0,0,1,0,0,0,0,54,9,5,15,49,2,0,1,0,0,5,0,1,0,0,0,0,0,0,0,2,0,3,0,1,25.0,3,37.5,7,11,6,0,1,,1,0,1,4,100.0,2,0,64,57,89.1,1,4,0,0,0,0,19,1,1,50.0
20,2019-12-14,Sat,Premier League,Matchweek 17,Home,L 0–1,Chelsea,Bournemouth,Y,CM,90,0,0,0,0,0,0,0,0,53,22,1,2,2,0.0,0.0,0.0,2,0,38,44,86.4,147,39,134,0,0,704,0,0.0,32,34,94.1,6,8,75.0,1,4,2,0,3,44,0,0,0,1,1,0,0,0,0,34,8,2,6,35,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,0,54.5,9,8,5,0,2,,1,0,3,0,,0,0,52,37,71.2,0,2,0,2,0,0,9,0,2,0.0
21,2019-12-22,Sun,Premier League,Matchweek 18,Away,W 2–0,Chelsea,Tottenham,Y,DM,90,0,0,0,0,1,0,0,0,64,29,1,0,3,0.0,0.0,0.1,2,1,46,53,86.8,219,50,225,4,4,927,2,66.7,32,36,88.9,12,14,85.7,1,9,1,1,5,53,0,0,0,0,2,0,0,0,0,33,9,11,10,41,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,1,27.6,10,11,8,0,3,,2,0,2,2,100.0,4,0,53,43,81.1,3,2,0,4,0,0,16,0,0,
22,2019-12-26,Thu,Premier League,Matchweek 19,Home,L 0–2,Chelsea,Southampton,Y,"DM,CM",90,0,0,0,0,0,0,1,0,91,19,7,1,1,0.0,0.0,0.0,3,0,67,78,85.9,369,73,206,4,6,1160,2,40.0,56,64,87.5,9,9,100.0,1,7,3,0,15,78,0,0,0,0,2,0,0,0,0,53,17,8,13,61,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,3,3,2,66.7,1,47.4,2,10,7,0,1,,2,0,0,3,66.7,5,0,76,63,82.9,1,3,0,2,0,0,16,1,4,20.0
23,2019-12-29,Sun,Premier League,Matchweek 20,Away,W 2–1,Chelsea,Arsenal,Y,"CM,DM",90,0,0,0,0,1,0,1,0,63,27,8,0,2,0.0,0.0,0.0,1,0,32,44,72.7,98,38,89,1,1,557,2,33.3,21,25,84.0,9,13,69.2,0,5,0,0,2,43,1,1,0,1,2,0,0,0,0,29,6,9,4,37,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8,5,2,1,2,66.7,1,40.7,8,15,4,0,2,,4,0,3,1,100.0,1,0,43,31,72.1,2,2,0,2,0,0,15,3,1,75.0
24,2020-01-01,Wed,Premier League,Matchweek 21,Away,D 1–1,Chelsea,Brighton,Y,DM,90,0,0,0,0,1,1,0,0,66,30,2,2,2,0.0,0.0,0.2,4,0,42,52,80.8,172,42,104,0,1,578,0,0.0,39,44,88.6,3,4,75.0,4,4,2,1,6,52,0,0,0,0,1,0,0,0,0,34,11,7,6,42,2,0,1,0,1,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,,0,33.3,9,12,9,0,2,,3,0,3,4,0.0,0,0,37,31,83.8,4,2,0,1,0,0,26,2,0,100.0
26,2020-01-18,Sat,Premier League,Matchweek 23,Away,L 0–1,Chelsea,Newcastle Utd,Y,CM,90,0,0,0,0,2,2,0,0,71,30,4,1,3,0.1,0.1,0.1,2,0,46,57,80.7,140,47,88,0,0,709,4,66.7,35,43,81.4,7,8,87.5,1,6,1,0,2,56,1,0,0,0,0,0,0,0,0,39,12,6,7,44,4,0,1,2,1,2,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0.0,1,36.7,12,11,7,0,3,,3,0,,,,,,,,,,,0,4,0,0,13,1,7,12.5
27,2020-01-21,Tue,Premier League,Matchweek 24,Home,D 2–2,Chelsea,Arsenal,Y,CM,68,0,0,0,0,1,0,0,0,41,22,1,0,3,0.1,0.1,0.0,1,0,27,30,90.0,65,30,92,2,2,436,1,100.0,20,23,87.0,6,6,100.0,1,5,0,0,1,30,0,0,0,0,0,0,0,0,0,24,4,2,2,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,1,27.3,5,6,11,0,3,,2,0,,,,,,,,,,,0,3,0,0,7,0,1,0.0
29,2020-02-01,Sat,Premier League,Matchweek 25,Away,D 2–2,Chelsea,Leicester City,Y,DM,90,0,0,0,0,1,0,0,0,56,35,4,2,4,0.0,0.0,0.0,1,0,28,34,82.4,98,30,130,1,3,525,1,50.0,21,26,80.8,6,6,100.0,1,2,0,0,1,34,0,0,0,0,1,0,0,0,0,25,3,6,4,26,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,1,100.0,0,37.1,15,13,7,0,3,,4,0,2,5,100.0,2,0,30,25,83.3,1,1,0,3,0,0,21,0,2,0.0
30,2020-02-17,Mon,Premier League,Matchweek 26,Home,L 0–2,Chelsea,Manchester Utd,Y,CM,11,0,0,0,0,0,0,0,0,4,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,4,0,0,35,0,0.0,2,3,66.7,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0,4,2,0,0,,0,0,,,,,,,,,,,0,0,0,0,0,0,0,
