,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Away,W 1–0,Arsenal,Newcastle Utd,Y*,DM,90,0,0,0,0,2,0,1,0,94,26,3,0,3,0.1,0.1,0.2,2,0,70,81,86.4,520,71,196,0,0,1392,1,50.0,53,56,94.6,16,23,69.6,1,10,2,0,6,78,3,3,1,0,0,0,0,0,0,63,12,6,63,15,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1,33.3,2,26.9,9,14,3,0,3,,4,0,3,1,,0,0,73,69,94.5,1,0,0,1,0,0,13,1,3,25.0
3,2019-08-24,Sat,Premier League,Matchweek 3,Away,L 1–3,Arsenal,Liverpool,Y*,DM,90,0,0,0,0,0,0,0,0,90,22,3,0,6,0.0,0.0,0.0,2,0,67,76,88.2,410,64,110,1,1,1302,0,,54,58,93.1,13,18,72.2,0,7,1,0,3,71,5,5,0,1,0,0,0,0,0,60,7,9,60,16,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0.0,1,36.4,14,7,1,0,3,,5,0,14,0,100.0,1,0,59,55,93.2,0,0,0,2,0,0,16,1,0,100.0
4,2019-09-01,Sun,Premier League,Matchweek 4,Home,D 2–2,Arsenal,Tottenham,Y*,DM,90,0,0,0,0,1,1,1,0,76,15,2,1,2,0.0,0.0,0.1,5,0,55,63,87.3,389,53,110,2,3,1224,1,100.0,35,41,85.4,19,21,90.5,3,12,1,0,11,59,4,4,0,3,0,0,0,0,0,39,10,14,43,10,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,,0,33.3,4,11,0,0,1,,2,0,5,0,66.7,2,0,48,46,95.8,0,0,0,7,0,1,19,4,1,80.0
5,2019-09-05,Thu,Euro Qualifying,Group stage,Away,D 1–1,ch Switzerland,ie Republic of Ireland,Y*,DM,90,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,
6,2019-09-08,Sun,Euro Qualifying,Group stage,Home,W 4–0,ch Switzerland,gi Gibraltar,Y*,DM,73,0,1,0,0,4,1,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,
7,2019-09-15,Sun,Premier League,Matchweek 5,Away,D 2–2,Arsenal,Watford,Y*,DM,90,0,0,0,0,1,0,0,0,66,20,4,1,3,0.0,0.0,0.0,0,0,47,54,87.0,251,38,101,1,1,886,0,0.0,39,41,95.1,8,12,66.7,0,7,0,0,5,49,5,5,0,1,0,0,0,0,0,45,4,5,45,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,66.7,1,25.0,13,6,1,0,1,,1,0,3,1,100.0,1,0,52,44,84.6,1,0,0,1,0,0,8,2,1,66.7
8,2019-09-19,Thu,Europa Lg,Group stage,Away,W 3–0,eng Arsenal,de Eint Frankfurt,Y*,DM,90,0,0,0,0,1,0,0,0,66,21,6,2,5,0.1,0.1,0.5,4,1,35,48,72.9,387,28,102,0,0,831,0,,25,33,75.8,10,15,66.7,2,5,0,0,9,40,8,4,2,4,1,4,0,4,0,23,10,15,35,4,6,0,0,0,2,2,2,0,0,1,0,0,0,0,0,4,3,3,0,3,100.0,0,33.3,9,11,1,0,3,,3,0,9,0,,0,0,27,24,88.9,0,0,0,0,0,0,15,3,4,42.9
9,2019-09-22,Sun,Premier League,Matchweek 6,Home,W 3–2,Arsenal,Aston Villa,Y*,"CM,RB",71,0,0,0,0,0,0,1,0,64,13,2,0,1,0.0,0.0,0.0,4,0,55,59,93.2,337,56,181,1,1,1118,1,100.0,43,44,97.7,11,14,78.6,1,13,1,0,8,59,0,0,0,3,0,0,0,0,0,44,6,9,52,6,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0.0,2,38.5,3,8,2,0,1,,0,0,1,1,100.0,1,0,56,55,98.2,0,1,0,2,0,0,6,0,0,
11,2019-09-30,Mon,Premier League,Matchweek 7,Away,D 1–1,Arsenal,Manchester Utd,Y*,DM,90,0,0,0,0,0,0,1,0,42,10,0,0,1,0.0,0.0,0.0,0,0,31,39,79.5,162,28,38,1,1,812,0,,17,20,85.0,14,19,73.7,0,3,0,0,2,35,4,4,0,3,0,0,0,0,0,24,7,8,32,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,20.0,4,4,2,0,1,,2,0,3,0,100.0,1,0,28,28,100.0,0,0,0,2,0,0,8,1,0,100.0
12,2019-10-03,Thu,Europa Lg,Group stage,Home,W 4–0,eng Arsenal,be Standard Liège,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
