,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–3,Newcastle Utd,Norwich City,Y,WB,90,0,0,0,0,1,0,0,0,39,14,2,1,1,0.2,0.2,0.0,0,0,22,29,75.9,170,22,71,0,0,336,1,33.3,20,21,95.2,1,5,20.0,0,2,0,0,5,22,7,1,0,1,1,0,0,0,0,17,8,4,3,19,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,20.0,4,35.7,9,4,1,0,0,,3,0,3,2,,0,0,22,22,100.0,0,0,0,0,0,0,2,0,0,
3,2019-08-25,Sun,Premier League,Matchweek 3,Away,W 1–0,Newcastle Utd,Tottenham,Y,WB,90,0,0,0,0,0,0,0,0,33,18,1,0,0,0.0,0.0,0.0,0,0,18,21,85.7,203,11,19,0,0,342,0,,16,17,94.1,2,4,50.0,0,1,0,0,2,15,6,0,0,0,0,0,0,0,0,10,6,5,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,2,22.2,14,3,1,0,0,,8,0,10,0,,0,0,14,12,85.7,1,0,0,0,0,0,4,0,0,
4,2019-08-28,Wed,EFL Cup,Second round,Home,L 1 (2)–1 (4),Newcastle Utd,Leicester City,Y,RB,49,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,D 1–1,Newcastle Utd,Watford,Y,WB,77,0,0,0,0,0,0,0,0,47,11,0,0,0,0.0,0.0,0.0,0,0,34,43,79.1,206,28,32,0,0,561,0,0.0,28,29,96.6,6,12,50.0,0,2,0,0,3,37,6,0,0,1,2,0,0,0,0,24,9,10,5,29,2,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,18.2,0,8,3,0,0,,1,0,1,1,,0,0,31,28,90.3,0,0,0,0,0,0,8,0,0,
6,2019-09-05,Thu,Euro Qualifying,Group stage,Away,W 4–0,se Sweden,fo Faroe Islands,N,,45,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
7,2019-09-08,Sun,Euro Qualifying,Group stage,Home,D 1–1,se Sweden,no Norway,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 1–3,Newcastle Utd,Liverpool,Y,WB,66,0,0,0,0,2,0,0,0,28,8,1,0,3,0.1,0.1,0.0,0,0,11,20,55.0,108,13,31,0,0,222,0,,9,12,75.0,2,8,25.0,0,1,1,1,2,14,6,0,0,0,1,0,0,0,0,10,3,7,2,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,33.3,2,12.5,5,1,2,0,2,,1,0,2,2,,0,0,15,14,93.3,1,0,0,1,0,0,2,0,0,
9,2019-09-21,Sat,Premier League,Matchweek 6,Home,D 0–0,Newcastle Utd,Brighton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-09-29,Sun,Premier League,Matchweek 7,Away,L 0–5,Newcastle Utd,Leicester City,Y,RB,90,0,0,0,0,0,0,0,0,56,18,2,0,2,0.0,0.0,0.0,0,0,34,47,72.3,338,28,68,1,1,552,0,0.0,28,34,82.4,6,10,60.0,0,1,0,0,2,33,14,1,0,0,1,0,0,0,0,24,5,18,2,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,1,33.3,13,5,0,0,2,,3,0,6,1,100.0,1,0,26,24,92.3,1,1,0,1,0,0,11,0,0,
11,2019-10-06,Sun,Premier League,Matchweek 8,Home,W 1–0,Newcastle Utd,Manchester Utd,N,AM,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,10,0,0,0,0,10,0,,1,1,100.0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100.0,0,,0,0,0,0,0,,0,0,1,0,,0,0,1,1,100.0,0,0,0,1,0,0,0,0,0,
12,2019-10-12,Sat,Euro Qualifying,Group stage,Away,W 4–0,se Sweden,mt Malta,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2019-10-15,Tue,Euro Qualifying,Group stage,Home,D 1–1,se Sweden,es Spain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
