,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-09-19,Thu,Europa Lg,Group stage,Away,W 3–0,eng Arsenal,de Eint Frankfurt,Y,CB,90,0,0,0,0,0,0,0,0,31,6,1,1,3,0.0,0.0,0.0,0,0,13,19,68.4,111,13,9,0,0,279,0,,10,12,83.3,3,7,42.9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,10,2,7,0,14,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,16.7,6,0,0,0,2,,7,0,10,0,,0,0,13,13,100.0,1,0,0,2,0,0,7,2,1,66.7
3,2019-09-24,Tue,EFL Cup,Third round,Home,W 5–0,Arsenal,Nott'ham Forest,Y,CB,90,0,0,0,0,2,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
5,2019-10-03,Thu,Europa Lg,Group stage,Home,W 4–0,eng Arsenal,be Standard Liège,Y,CB,90,0,0,0,0,0,0,0,0,78,5,1,1,1,0.0,0.0,0.0,0,0,61,68,89.7,473,47,132,0,0,1459,0,0.0,41,45,91.1,20,22,90.9,0,3,0,0,3,67,1,1,0,3,0,0,0,0,0,57,0,11,5,57,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100.0,0,0.0,1,2,2,0,1,,6,0,17,0,,0,0,56,55,98.2,0,0,0,2,0,0,11,0,1,0.0
7,2019-10-24,Thu,Europa Lg,Group stage,Home,W 3–2,eng Arsenal,pt Vitória,Y,CB,90,0,0,0,0,3,0,1,0,82,8,1,0,2,0.3,0.3,0.0,1,0,54,63,85.7,462,55,313,0,0,1283,1,50.0,31,34,91.2,22,27,81.5,0,2,1,0,3,61,2,1,0,1,0,0,0,0,0,53,2,8,2,58,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,25.0,4,3,1,0,1,,12,0,6,3,,0,0,62,59,95.2,0,0,0,1,0,0,6,10,1,90.9
9,2019-10-30,Wed,EFL Cup,Fourth round,Away,L 5 (4)–5 (5),Arsenal,Liverpool,Y,CB,120,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,
11,2019-11-06,Wed,Europa Lg,Group stage,Away,D 1–1,eng Arsenal,pt Vitória,Y,CB,90,1,0,0,0,2,1,1,0,101,8,0,0,0,0.2,0.2,0.0,1,0,78,89,87.6,713,68,252,1,2,1803,0,,54,60,90.0,24,29,82.8,0,7,0,0,7,85,4,4,0,2,0,0,0,0,0,70,3,16,2,79,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,37.5,8,0,0,0,0,,8,0,15,2,50.0,2,0,76,75,98.7,0,0,0,2,0,0,13,6,2,75.0
13,2019-11-23,Sat,Premier League,Matchweek 13,Home,D 2–2,Arsenal,Southampton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2019-11-28,Thu,Europa Lg,Group stage,Home,L 1–2,eng Arsenal,de Eint Frankfurt,Y,CB,75,0,0,0,0,0,0,1,0,54,6,1,1,0,0.0,0.0,0.0,0,0,34,42,81.0,433,31,88,0,0,903,0,0.0,20,22,90.9,14,18,77.8,0,0,0,0,0,41,1,1,0,2,0,0,0,0,0,20,7,15,1,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,100.0,0,50.0,3,3,0,0,0,,10,0,7,0,,0,0,34,32,94.1,0,0,0,2,0,0,9,4,0,100.0
15,2019-12-01,Sun,Premier League,Matchweek 14,Away,D 2–2,Arsenal,Norwich City,Y,CB,90,0,0,0,0,2,0,0,0,87,5,1,2,1,0.3,0.3,0.0,1,1,68,77,88.3,519,57,141,0,0,1646,0,0.0,40,44,90.9,28,32,87.5,0,8,0,0,4,77,0,0,0,4,0,0,0,0,0,59,9,9,5,64,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,3,20.0,3,2,0,0,0,,3,0,7,4,,0,0,63,62,98.4,0,0,0,0,0,0,16,1,0,100.0
17,2019-12-21,Sat,Premier League,Matchweek 18,Away,D 0–0,Arsenal,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
