,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-09,Fri,Premier League,Matchweek 1,Home,W 4–1,Liverpool,Norwich City,N,"CM,FW",5,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,24,3,8,0,0,35,0,,3,4,75.0,0,0,,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100.0,0,0,1,0,0,,0,0,0,0,,0,0,5,3,60.0,0,0,0,0,0,0,1,0,0,
2,2019-08-14,Wed,Super Cup,UEFA Super Cup,Home,W 2 (5)–2 (4),eng Liverpool,eng Chelsea,Y,CM,63,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
3,2019-08-17,Sat,Premier League,Matchweek 2,Away,W 2–1,Liverpool,Southampton,Y*,CM,73,0,1,0,0,4,0,0,0,70,13,0,0,1,0.2,0.2,0.0,3,1,52,60,86.7,312,49,151,0,0,1048,1,33.3,38,39,97.4,13,18,72.2,1,7,1,0,6,56,4,0,0,3,0,1,0,1,0,37,13,10,7,48,1,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,3,7.7,7,5,1,0,1,,2,0,3,0,,0,0,56,53,94.6,0,0,0,1,0,0,7,3,1,75.0
4,2019-08-24,Sat,Premier League,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,N,CM,22,0,0,0,0,0,0,0,0,18,9,1,0,0,0.0,0.0,0.0,0,0,12,16,75.0,71,14,16,0,0,267,0,,9,9,100.0,3,7,42.9,0,2,0,0,2,15,1,0,0,1,0,0,0,0,0,11,3,2,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,22.2,2,6,1,0,0,,1,0,2,0,,0,0,11,11,100.0,0,1,0,0,0,0,4,0,0,
5,2019-08-31,Sat,Premier League,Matchweek 4,Away,W 3–0,Liverpool,Burnley,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 3–1,Liverpool,Newcastle Utd,N,CM,16,0,0,0,0,0,0,0,0,27,4,0,1,2,0.0,0.0,0.0,0,0,24,24,100.0,75,21,22,0,0,461,0,,20,20,100.0,4,4,100.0,0,1,0,0,1,24,0,0,0,0,0,0,0,0,0,23,1,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,25.0,0,2,2,0,2,,0,0,1,0,,0,0,23,23,100.0,0,0,0,0,0,0,1,0,0,
7,2019-09-17,Tue,Champions Lg,Group stage,Away,L 0–2,eng Liverpool,it Napoli,Y,CM,65,0,0,0,0,1,0,1,0,45,24,3,0,3,0.1,0.1,0.0,1,0,29,37,78.4,163,27,27,0,0,570,0,,23,28,82.1,6,9,66.7,1,2,1,1,2,36,1,0,0,0,3,0,0,0,0,29,2,6,8,28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,2,66.7,1,25.0,2,15,7,0,2,,0,0,0,2,,0,0,39,37,94.9,0,1,0,2,0,0,1,0,1,0.0
8,2019-09-22,Sun,Premier League,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,N,CM,20,0,0,0,0,0,0,1,0,11,5,1,0,1,0.0,0.0,0.0,0,0,7,7,100.0,28,3,2,0,0,131,0,,5,5,100.0,2,2,100.0,0,1,0,0,1,4,3,2,0,0,0,0,0,0,0,7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100.0,0,0.0,3,2,0,0,1,,1,0,1,1,,0,0,5,4,80.0,0,0,0,2,0,0,0,0,0,
9,2019-09-25,Wed,EFL Cup,Third round,Away,W 2–0,Liverpool,MK Dons,Y*,LB,90,1,1,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
10,2019-09-28,Sat,Premier League,Matchweek 7,Away,W 1–0,Liverpool,Sheffield Utd,N,AM,4,0,0,0,0,0,0,0,0,7,2,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,3,20,0,0,27,0,,2,2,100.0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,2,0,0,0,1,,1,0,0,0,,0,0,5,4,80.0,0,1,0,0,0,0,0,0,0,
