Rk,Player,Nation,Pos,Squad,Age,Born,,,,,,,,,,,,,,,,,,,,,,,Matches
55,Willy-Boly,FRA,DF,Wolves,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
56,Gaetan-Bong,CMR,MFDF,Brighton,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
57,Sofiane-Boufal,MAR,MFFW,Southampton,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
58,Jarrod-Bowen,ENG,FW,West Ham,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
59,Robbie-Brady,IRL,MF,Burnley,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
60,Jarrad-Branthwaite,ENG,DF,Everton,17,2002,,,,,,,,,,,,,,,,,,,,,,,Matches
61,Claudio-Bravo,CHI,GK,Manchester City,36,1983,,,,,,,,,,,,,,,,,,,,,,,Matches
62,Armando-Broja,ALB,FW,Chelsea,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
63,David-Brooks,WAL,MF,Bournemouth,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
64,Josh-Brownhill,ENG,MF,Burnley,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
65,Emi-Buendia,ARG,FWMF,Norwich City,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
66,Dan-Burn,ENG,DF,Brighton,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
67,Sam-Byram,ENG,DF,Norwich City,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
68,Willy-Caballero,ARG,GK,Chelsea,37,1981,,,,,,,,,,,,,,,,,,,,,,,Matches
69,Gary-Cahill,ENG,DF,Crystal Palace,33,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
70,Dominic-Calvert-Lewin,ENG,FW,Everton,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
71,Victor-Camarasa,ESP,MF,Crystal Palace,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
72,Joao-Cancelo,POR,DF,Manchester City,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
73,Todd-Cantwell,ENG,FWMF,Norwich City,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
74,Etienne-Capoue,FRA,MF,Watford,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
75,Andy-Carroll,ENG,FW,Newcastle Utd,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
76,Jonny-Castro,ESP,DF,Wolves,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
77,Craig-Cathcart,NIR,DF,Watford,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
78,Dani-Ceballos,ESP,MF,Arsenal,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
79,Nathaniel-Chalobah,ENG,MF,Watford,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
80,Calum-Chambers,ENG,DF,Arsenal,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
81,Ben-Chilwell,ENG,DF,Leicester City,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
82,Tahith-Chong,NED,FWMF,Manchester Utd,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
83,Hamza-Choudhury,ENG,MF,Leicester City,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
84,Andreas-Christensen,DEN,DF,Chelsea,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
85,Ciaran-Clark,IRL,DF,Newcastle Utd,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
86,Leon-Clarke,ENG,FWMF,Sheffield Utd,34,1985,,,,,,,,,,,,,,,,,,,,,,,Matches
87,Tom-Cleverley,ENG,MF,Watford,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
88,Conor-Coady,ENG,DF,Wolves,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
89,Seamus-Coleman,IRL,DF,Everton,30,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
90,Aaron-Connolly,IRL,FW,Brighton,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
91,Lewis-Cook,ENG,MF,Bournemouth,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
92,Steve-Cook,ENG,DF,Bournemouth,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
93,Jack-Cork,ENG,MF,Burnley,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
94,Aaron-Cresswell,ENG,DF,West Ham,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
95,Patrick-Cutrone,ITA,FW,Wolves,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
96,Diogo-Dalot,POR,DF,Manchester Utd,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
97,Charlie-Daniels,ENG,DF,Bournemouth,32,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
98,Scott-Dann,ENG,DF,Crystal Palace,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
99,Kevin-Danso,AUT,DF,Southampton,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
100,Ben-Davies,WAL,DF,Tottenham,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
101,Tom-Davies,ENG,MF,Everton,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
102,Keinan-Davis,ENG,FW,Aston Villa,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
103,Craig-Dawson,ENG,DF,Watford,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
104,Kevin-De-Bruyne,BEL,MF,Manchester City,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
105,Troy-Deeney,ENG,FW,Watford,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
106,Fabian-Delph,ENG,MF,Everton,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
107,Leander-Dendoncker,BEL,MFDF,Wolves,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
108,Gerard-Deulofeu,ESP,FW,Watford,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
109,Eric-Dier,ENG,DFMF,Tottenham,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
110,Lucas-Digne,FRA,DF,Everton,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
111,Virgil-van-Dijk,NED,DF,Liverpool,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
112,Issa-Diop,FRA,DF,West Ham,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
113,Moussa-Djenepo,MLI,MFDF,Southampton,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
114,Matt-Doherty,IRL,DF,Wolves,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
115,Abdoulaye-Doucoure,FRA,MF,Watford,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
116,Thomas-Doyle,ENG,MFFW,Manchester City,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
117,Danny-Drinkwater,ENG,MF,Burnley,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
118,Danny-Drinkwater,ENG,MF,Aston Villa,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
119,Josip-Drmic,SUI,FWMF,Norwich City,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
120,Martin-Dubravka,SVK,GK,Newcastle Utd,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
121,Ondrej-Duda,SVK,MF,Norwich City,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
122,Shane-Duffy,IRL,DF,Brighton,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
