Rk,Player,Nation,Pos,Squad,Age,Born,,,,,,,,,,,,,,,,,,,,,,,Matches
247,Erik-Lamela,ARG,MFFW,Tottenham,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
248,Tariq-Lamptey,ENG,DF,Brighton,18,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
249,Tariq-Lamptey,ENG,DF,Chelsea,18,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
250,Henri-Lansbury,ENG,MF,Aston Villa,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
251,Manuel-Lanzini,ARG,MFFW,West Ham,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
252,Aymeric-Laporte,FRA,DF,Manchester City,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
253,Jamaal-Lascelles,ENG,DF,Newcastle Utd,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
254,Valentino-Lazaro,AUT,DFMF,Newcastle Utd,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
255,Moritz-Leitner,GER,MF,Norwich City,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
256,Florian-Lejeune,FRA,DF,Newcastle Utd,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
257,Aaron-Lennon,ENG,MF,Burnley,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
258,Bernd-Leno,GER,GK,Arsenal,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
259,Jefferson-Lerma,COL,MF,Bournemouth,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
260,Jamal-Lewis,NIR,DF,Norwich City,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
261,Victor-Lindelof,SWE,DF,Manchester Utd,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
262,Jesse-Lingard,ENG,MFFW,Manchester Utd,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
263,Hugo-Lloris,FRA,GK,Tottenham,32,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
264,Giovani-Lo-Celso,ARG,MFFW,Tottenham,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
265,Jurgen-Locadia,NED,MFFW,Brighton,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
266,Ruben-Loftus-Cheek,ENG,MFFW,Chelsea,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
267,Kevin-Long,IRL,DF,Burnley,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
268,Shane-Long,IRL,FW,Southampton,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
269,Matthew-Longstaff,ENG,MF,Newcastle Utd,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
270,Sean-Longstaff,ENG,MF,Newcastle Utd,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
271,Dejan-Lovren,CRO,DF,Liverpool,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
272,Matthew-Lowton,ENG,DF,Burnley,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
273,David-Luiz,BRA,DF,Arsenal,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
274,Douglas-Luiz,BRA,MF,Aston Villa,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
275,John-Lundstram,ENG,MF,Sheffield Utd,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
276,Alexis-Mac-Allister,ARG,MFFW,Brighton,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
277,James-Maddison,ENG,MF,Leicester City,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
278,Harry-Maguire,ENG,DF,Manchester Utd,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
279,Riyad-Mahrez,ALG,FW,Manchester City,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
280,Ainsley-Maitland-Niles,ENG,DF,Arsenal,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
281,Sadio-Mane,SEN,FW,Liverpool,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
282,Javier-Manquillo,ESP,DF,Newcastle Utd,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
283,Solly-March,ENG,DFFW,Brighton,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
284,Pablo-Mari,ESP,DF,Arsenal,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
285,Adrian-Mariappa,JAM,DF,Watford,32,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
286,Anthony-Martial,FRA,FW,Manchester Utd,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
287,David-Martin,ENG,GK,West Ham,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
288,Josh-Martin,ENG,FW,Norwich City,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
289,Martinelli,BRA,FW,Arsenal,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
290,Emiliano-Martinez,ARG,GK,Arsenal,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
291,Adam-Masina,ITA,DF,Watford,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
292,Arthur-Masuaku,COD,DF,West Ham,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
293,Juan-Mata,ESP,MFFW,Manchester Utd,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
294,Nemanja-Matic,SRB,MF,Manchester Utd,30,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
295,Joel-Matip,CMR,DF,Liverpool,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
296,Neal-Maupay,FRA,FW,Brighton,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
297,James-McArthur,SCO,MF,Crystal Palace,31,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
298,Oliver-McBurnie,SCO,FW,Sheffield Utd,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
299,Alex-McCarthy,ENG,GK,Southampton,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
300,James-McCarthy,IRL,MF,Crystal Palace,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
301,John-McGinn,SCO,MF,Aston Villa,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
302,David-McGoldrick,IRL,FW,Sheffield Utd,31,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
303,Michael-McGovern,NIR,GK,Norwich City,35,1984,,,,,,,,,,,,,,,,,,,,,,,Matches
304,Kenny-McLean,SCO,MF,Norwich City,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
305,Dwight-McNeil,ENG,MF,Burnley,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
306,Scott-McTominay,SCO,MF,Manchester Utd,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
307,Ben-Mee,ENG,DF,Burnley,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
308,Benjamin-Mendy,FRA,DF,Manchester City,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
309,Nampalys-Mendy,FRA,MF,Leicester City,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
310,Chris-Mepham,WAL,DF,Bournemouth,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
311,Max-Meyer,GER,MFFW,Crystal Palace,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
312,Luka-Milivojevic,SRB,MF,Crystal Palace,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
313,James-Milner,ENG,MFDF,Liverpool,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
314,Yerry-Mina,COL,DF,Everton,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
315,Takumi-Minamino,JPN,FWMF,Liverpool,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
316,Tyrone-Mings,ENG,DF,Aston Villa,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
317,Tyrick-Mitchell,ENG,DF,Crystal Palace,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
318,Henrikh-Mkhitaryan,ARM,FW,Arsenal,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
319,Nacho-Monreal,ESP,DF,Arsenal,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
320,Martin-Montoya,ESP,DF,Brighton,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
321,Simon-Moore,ENG,GK,Sheffield Utd,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
322,Aaron-Mooy,AUS,MFFW,Brighton,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
323,Wesley-Moraes,BRA,FW,Aston Villa,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
324,Wes-Morgan,JAM,DF,Leicester City,35,1984,,,,,,,,,,,,,,,,,,,,,,,Matches
325,Ravel-Morrison,ENG,MF,Sheffield Utd,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
326,Mason-Mount,ENG,MFFW,Chelsea,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
327,Lucas-Moura,BRA,FWMF,Tottenham,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
328,Lys-Mousset,FRA,FW,Sheffield Utd,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
329,Joao-Moutinho,POR,MF,Wolves,32,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
330,Glenn-Murray,ENG,FW,Brighton,35,1983,,,,,,,,,,,,,,,,,,,,,,,Matches
331,Shkodran-Mustafi,GER,DF,Arsenal,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
332,Yoshinori-Muto,JPN,FWMF,Newcastle Utd,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
333,Georges-Kevin-NKoudou,FRA,FW,Tottenham,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
334,Marvelous-Nakamba,ZIM,MF,Aston Villa,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
335,Wilfred-Ndidi,NGA,MF,Leicester City,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
336,Tanguy-Ndombele,FRA,MF,Tottenham,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
337,Reiss-Nelson,ENG,FW,Arsenal,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
338,Pedro-Neto,POR,FWMF,Wolves,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
339,Ruben-Neves,POR,MF,Wolves,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
340,Jeremy-Ngakia,ENG,DF,West Ham,18,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
341,Oumar-Niasse,SEN,FW,Everton,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
342,Eddie-Nketiah,ENG,FW,Arsenal,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
343,Mark-Noble,ENG,MF,West Ham,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
344,Oliver-Norwood,NIR,MF,Sheffield Utd,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
345,Orjan-Nyland,NOR,GK,Aston Villa,28,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
346,Jack-OConnell,ENG,DF,Sheffield Utd,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
347,Michael-Obafemi,IRL,FW,Southampton,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
348,Angelo-Ogbonna,ITA,DF,West Ham,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
349,Divock-Origi,BEL,FW,Liverpool,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
350,Ben-Osborn,ENG,MFDF,Sheffield Utd,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
351,Nicolas-Otamendi,ARG,DF,Manchester City,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
352,Alex-Oxlade-Chamberlain,ENG,MFFW,Liverpool,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
353,Mesut-Ozil,GER,MF,Arsenal,30,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
354,Emerson-Palmieri,ITA,DF,Chelsea,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
355,Sokratis-Papastathopoulos,GRE,DF,Arsenal,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
356,Troy-Parrott,IRL,MF,Tottenham,17,2002,,,,,,,,,,,,,,,,,,,,,,,Matches
357,Rui-Patricio,POR,GK,Wolves,31,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
358,Pedro,ESP,FW,Chelsea,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
359,Joao-Pedro,BRA,FWMF,Watford,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
360,Nicolas-Pepe,CIV,FW,Arsenal,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
361,Andreas-Pereira,BRA,MFFW,Manchester Utd,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
362,Ricardo-Pereira,POR,DF,Leicester City,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
363,Roberto-Pereyra,ARG,FWMF,Watford,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
364,Ayoze-Perez,ESP,MFFW,Leicester City,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
365,Jordan-Pickford,ENG,GK,Everton,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
366,Brandon-Pierrick,ENG,MF,Crystal Palace,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
367,Erik-Pieters,NED,DFMF,Burnley,30,1988,,,,,,,,,,,,,,,,,,,,,,,Matches
368,Daniel-Podence,POR,FWMF,Wolves,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
369,Paul-Pogba,FRA,MF,Manchester Utd,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
370,Nick-Pope,ENG,GK,Burnley,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
371,Dennis-Praet,BEL,MF,Leicester City,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
372,Sebastian-Prodl,AUT,DF,Watford,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
373,Davy-Propper,NED,MF,Brighton,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
374,Teemu-Pukki,FIN,FW,Norwich City,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
375,Christian-Pulisic,USA,FW,Chelsea,20,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
376,Ignacio-Pussetto,ARG,FWDF,Watford,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
377,Domingos-Quina,POR,MF,Watford,19,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
378,Aaron-Ramsdale,ENG,GK,Bournemouth,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
379,Darren-Randolph,IRL,GK,West Ham,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
380,Marcus-Rashford,ENG,FW,Manchester Utd,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
381,Nathan-Redmond,ENG,MFFW,Southampton,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
382,Pepe-Reina,ESP,GK,Aston Villa,36,1982,,,,,,,,,,,,,,,,,,,,,,,Matches
383,Declan-Rice,ENG,MF,West Ham,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
384,Richarlison,BRA,FW,Everton,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
385,Diego-Rico,ESP,DF,Bournemouth,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
386,Jairo-Riedewald,NED,DFMF,Crystal Palace,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
387,Matt-Ritchie,SCO,DFMF,Newcastle Utd,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
388,Roberto,ESP,GK,West Ham,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
389,Patrick-Roberts,ENG,MFFW,Norwich City,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
390,Andrew-Robertson,SCO,DF,Liverpool,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
391,Callum-Robinson,IRL,FW,Sheffield Utd,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
392,Jack-Robinson,ENG,DF,Sheffield Utd,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
393,Rodri,ESP,MF,Manchester City,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
394,Jay-Rodriguez,ENG,FW,Burnley,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
395,Jack-Rodwell,ENG,MF,Sheffield Utd,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
396,Marcos-Rojo,ARG,DF,Manchester Utd,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
397,Oriol-Romeu,ESP,MF,Southampton,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
398,Danny-Rose,ENG,DF,Newcastle Utd,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
399,Danny-Rose,ENG,DF,Tottenham,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
400,Antonio-Rudiger,GER,DF,Chelsea,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
401,Lukas-Rupp,GER,FWMF,Norwich City,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
402,Mathew-Ryan,AUS,GK,Brighton,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
403,Allan-Saint-Maximin,FRA,MFFW,Newcastle Utd,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
404,Romain-Saiss,MAR,DF,Wolves,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
405,Bukayo-Saka,ENG,DFFW,Arsenal,17,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
406,Mamadou-Sakho,FRA,DF,Crystal Palace,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
407,Mohamed-Salah,EGY,FW,Liverpool,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
408,Mbwana-Samatta,TAN,FW,Aston Villa,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
409,Carlos-Sanchez,COL,MFDF,West Ham,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
410,Davinson-Sanchez,COL,DF,Tottenham,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
411,Leroy-Sane,GER,FW,Manchester City,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
412,Ismaila-Sarr,SEN,FWMF,Watford,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
413,Fabian-Schar,SUI,DFMF,Newcastle Utd,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
414,Ezequiel-Schelotto,ITA,DF,Brighton,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
415,Jeffrey-Schlupp,GHA,MFDF,Crystal Palace,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
416,Kasper-Schmeichel,DEN,GK,Leicester City,32,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
417,Morgan-Schneiderlin,FRA,MF,Everton,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
418,Ryan-Sessegnon,ENG,DF,Tottenham,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
419,Xherdan-Shaqiri,SUI,FW,Liverpool,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
420,Billy-Sharp,ENG,FW,Sheffield Utd,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
421,Luke-Shaw,ENG,DF,Manchester Utd,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
422,Jonjo-Shelvey,ENG,MF,Newcastle Utd,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
423,Djibril-Sidibe,FRA,DF,Everton,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
424,Gylfi-Sigurdsson,ISL,MF,Everton,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
425,Bernardo-Silva,POR,FWMF,Manchester City,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
426,David-Silva,ESP,MF,Manchester City,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
427,Jack-Simpson,ENG,DF,Bournemouth,22,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
428,Moussa-Sissoko,FRA,MF,Tottenham,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
429,Oliver-Skipp,ENG,MFDF,Tottenham,18,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
430,William-Smallbone,IRL,MF,Southampton,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
431,Adam-Smith,ENG,DF,Bournemouth,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
432,Emile-Smith-Rowe,ENG,MF,Arsenal,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
433,Robert-Snodgrass,SCO,MFFW,West Ham,31,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
434,Cedric-Soares,POR,DF,Southampton,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
435,Cedric-Soares,POR,DF,Arsenal,27,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
436,Dominic-Solanke,ENG,FWMF,Bournemouth,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
437,Tomas-Soucek,CZE,MF,West Ham,24,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
438,Caglar-Soyuncu,TUR,DF,Leicester City,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
439,Dennis-Srbeny,GER,MFFW,Norwich City,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
440,Jack-Stacey,ENG,DF,Bournemouth,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
441,Junior-Stanislas,ENG,MFDF,Bournemouth,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
442,Jed-Steer,ENG,GK,Aston Villa,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
443,Dale-Stephens,ENG,MF,Brighton,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
444,Jack-Stephens,ENG,DF,Southampton,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
445,Raheem-Sterling,ENG,FW,Manchester City,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
446,Enda-Stevens,IRL,DF,Sheffield Utd,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
447,Marco-Stiepermann,GER,MF,Norwich City,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
448,John-Stones,ENG,DF,Manchester City,25,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
449,Isaac-Success,NGA,FWMF,Watford,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
450,Ki-Sung-yueng,KOR,MF,Newcastle Utd,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
451,Andrew-Surman,ENG,MF,Bournemouth,32,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
452,Sam-Surridge,ENG,FW,Bournemouth,21,1998,,,,,,,,,,,,,,,,,,,,,,,Matches
453,Japhet-Tanganga,ENG,DF,Tottenham,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
454,Matt-Targett,ENG,DF,Aston Villa,23,1995,,,,,,,,,,,,,,,,,,,,,,,Matches
455,James-Tarkowski,ENG,DF,Burnley,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
456,Charlie-Taylor,ENG,DF,Burnley,25,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
457,Neil-Taylor,WAL,DF,Aston Villa,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
458,Nathan-Tella,ENG,FW,Southampton,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
459,Alexander-Tettey,NOR,MFDF,Norwich City,33,1986,,,,,,,,,,,,,,,,,,,,,,,Matches
460,Jordan-Thomas,ENG,FW,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,,Matches
461,Luke-Thomas,ENG,DF,Leicester City,,,,,,,,,,,,,,,,,,,,,,,,,Matches
462,Max-Thompson,ENG,FW,Burnley,17,2002,,,,,,,,,,,,,,,,,,,,,,,Matches
463,Youri-Tielemans,BEL,MF,Leicester City,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
464,Kieran-Tierney,SCO,DF,Arsenal,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
465,James-Tomkins,ENG,DF,Crystal Palace,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
466,Fikayo-Tomori,ENG,DF,Chelsea,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
467,Lucas-Torreira,URU,MF,Arsenal,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
468,Cenk-Tosun,TUR,FW,Crystal Palace,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
469,Cenk-Tosun,TUR,FW,Everton,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
470,Andros-Townsend,ENG,MF,Crystal Palace,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
471,Adama-Traore,ESP,FWMF,Wolves,23,1996,,,,,,,,,,,,,,,,,,,,,,,Matches
472,Mark-Travers,IRL,GK,Bournemouth,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
473,Trezeguet,EGY,FWMF,Aston Villa,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
474,Leandro-Trossard,BEL,FWMF,Brighton,24,1994,,,,,,,,,,,,,,,,,,,,,,,Matches
475,Tom-Trybull,GER,MF,Norwich City,26,1993,,,,,,,,,,,,,,,,,,,,,,,Matches
476,Axel-Tuanzebe,ENG,DF,Manchester Utd,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
477,Yan-Valery,FRA,DF,Southampton,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
478,Jesus-Vallejo,ESP,DF,Wolves,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
479,Jamie-Vardy,ENG,FW,Leicester City,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
480,Indiana-Vassilev,USA,FWMF,Aston Villa,18,2001,,,,,,,,,,,,,,,,,,,,,,,Matches
481,Jan-Vertonghen,BEL,DF,Tottenham,32,1987,,,,,,,,,,,,,,,,,,,,,,,Matches
482,Jannik-Vestergaard,DEN,DF,Southampton,26,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
483,Ruben-Vinagre,POR,DF,Wolves,20,1999,,,,,,,,,,,,,,,,,,,,,,,Matches
484,Jake-Vokins,ENG,DF,Southampton,19,2000,,,,,,,,,,,,,,,,,,,,,,,Matches
485,Mario-Vrancic,BIH,MF,Norwich City,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
486,Matej-Vydra,CZE,FW,Burnley,27,1992,,,,,,,,,,,,,,,,,,,,,,,Matches
487,Theo-Walcott,ENG,MFFW,Everton,30,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
488,Kyle-Walker,ENG,DF,Manchester City,29,1990,,,,,,,,,,,,,,,,,,,,,,,Matches
489,Kyle-Walker-Peters,ENG,DF,Tottenham,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
490,Kyle-Walker-Peters,ENG,DF,Southampton,22,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
491,Aaron-Wan-Bissaka,ENG,DF,Manchester Utd,21,1997,,,,,,,,,,,,,,,,,,,,,,,Matches
492,Victor-Wanyama,KEN,MF,Tottenham,28,1991,,,,,,,,,,,,,,,,,,,,,,,Matches
493,Joel-Ward,ENG,DF,Crystal Palace,29,1989,,,,,,,,,,,,,,,,,,,,,,,Matches
