,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Away,W 3–0,Brighton,Watford,Y,FW,63,0,0,0,0,0,0,0,0,16,9,0,0,3,0.0,0.0,0.0,0,0,5,7,71.4,47,10,12,0,0,77,1,100.0,3,3,100.0,1,3,33.3,0,1,1,0,1,7,0,0,0,1,2,0,0,0,0,2,3,2,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,33.3,0,3,6,0,2,,0,0,1,1,,0,0,31,11,35.5,2,2,0,2,0,0,2,2,2,50.0
2,2019-08-17,Sat,Premier League,Matchweek 2,Home,D 1–1,Brighton,West Ham,Y,FW,73,0,0,0,0,1,0,0,0,25,22,0,0,0,0.4,0.4,0.3,2,0,12,16,75.0,12,15,12,0,1,190,0,,10,13,76.9,2,3,66.7,1,0,0,0,0,15,1,0,1,0,1,0,0,0,0,7,5,4,3,9,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,22.7,0,15,7,0,0,,0,0,0,4,0.0,0,0,40,18,45.0,2,3,0,2,0,0,5,3,4,42.9
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 0–2,Brighton,Southampton,N,FW,17,0,0,0,0,1,0,0,0,8,2,1,0,0,0.0,0.0,0.0,1,0,3,6,50.0,0,4,1,0,0,35,0,0.0,3,4,75.0,0,1,0.0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,3,1,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,0.0,0,2,0,0,0,,0,0,0,1,,0,0,15,6,40.0,0,0,0,1,0,0,0,1,0,100.0
4,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–1,Brighton,Bristol Rovers,Y*,FW,90,1,0,0,0,4,2,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
5,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 0–4,Brighton,Manchester City,N,LW,24,0,0,0,0,0,0,0,0,4,10,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,11,3,1,0,0,27,0,0.0,2,2,100.0,0,0,,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10.0,1,3,6,0,0,,0,0,0,0,,0,0,3,3,100.0,1,0,0,0,0,0,1,0,0,
6,2019-09-14,Sat,Premier League,Matchweek 5,Home,D 1–1,Brighton,Burnley,Y,LW,79,0,0,0,0,3,1,0,0,41,16,0,0,1,0.3,0.3,0.1,4,0,16,27,59.3,46,32,45,1,1,261,1,33.3,13,18,72.2,2,6,33.3,1,2,0,0,1,27,0,0,0,1,2,0,0,0,0,15,6,6,5,19,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,43.8,3,7,6,0,1,,2,0,3,6,100.0,1,0,57,32,56.1,4,2,0,3,0,0,6,4,1,80.0
7,2019-09-21,Sat,Premier League,Matchweek 6,Away,D 0–0,Brighton,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Brighton,Chelsea,N,FW,12,0,0,0,0,1,0,0,0,4,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,26,0,0,15,1,100.0,1,2,50.0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20.0,0,2,3,0,0,,0,0,0,0,,0,0,7,4,57.1,0,0,0,0,0,0,0,0,0,
10,2019-10-05,Sat,Premier League,Matchweek 8,Home,W 3–0,Brighton,Tottenham,N,"FW,DM",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,6,0,0,33,0,,0,0,,1,1,100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,1,0,0,0,,0,0,0,0,,0,0,2,1,50.0,0,0,0,0,0,0,0,0,0,
11,2019-10-19,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-10-26,Sat,Premier League,Matchweek 10,Home,W 3–2,Brighton,Everton,N,FW,11,0,0,0,0,0,0,0,0,8,1,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,15,4,10,0,0,89,0,0.0,4,4,100.0,1,1,100.0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,1,0,0,0,,1,0,1,1,,0,0,14,5,35.7,0,1,0,1,0,0,1,3,0,100.0
13,2019-11-02,Sat,Premier League,Matchweek 11,Home,W 2–0,Brighton,Norwich City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2019-11-10,Sun,Premier League,Matchweek 12,Away,L 1–3,Brighton,Manchester Utd,N,FW,45,0,0,0,0,0,0,0,0,12,5,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,4,9,6,0,0,29,1,50.0,3,4,75.0,0,1,0.0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,2,5,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,3,2,0,0,,0,0,0,0,,0,0,19,8,42.1,2,1,0,0,0,0,2,0,1,0.0
15,2019-11-23,Sat,Premier League,Matchweek 13,Home,L 0–2,Brighton,Leicester City,N,FW,8,0,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,1,21,0,0,19,0,,1,2,50.0,0,0,,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100.0,0,0,1,0,0,,0,0,0,1,,0,0,4,2,50.0,0,0,0,0,0,0,0,0,0,
16,2019-11-30,Sat,Premier League,Matchweek 14,Away,L 1–2,Brighton,Liverpool,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2019-12-05,Thu,Premier League,Matchweek 15,Away,W 2–1,Brighton,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2019-12-08,Sun,Premier League,Matchweek 16,Home,D 2–2,Brighton,Wolves,N,LW,23,0,0,0,0,0,0,0,0,12,3,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,6,10,6,0,1,76,0,,3,6,50.0,1,1,100.0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,4,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,33.3,0,1,2,0,0,,0,0,0,0,0.0,0,0,15,12,80.0,1,1,0,0,0,0,0,2,0,100.0
19,2019-12-16,Mon,Premier League,Matchweek 17,Away,D 1–1,Brighton,Crystal Palace,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2019-12-21,Sat,Premier League,Matchweek 18,Home,L 0–1,Brighton,Sheffield Utd,N,AM,45,0,0,0,0,0,0,0,0,18,5,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,47,9,4,0,2,218,0,,10,12,83.3,2,2,100.0,0,2,1,0,3,14,0,0,0,0,0,0,0,0,0,8,3,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60.0,0,1,4,0,0,,0,0,0,2,0.0,0,0,21,15,71.4,1,1,0,2,0,0,3,2,3,40.0
21,2019-12-26,Thu,Premier League,Matchweek 19,Away,L 1–2,Brighton,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2019-12-28,Sat,Premier League,Matchweek 20,Home,W 2–0,Brighton,Bournemouth,N,FW,2,0,0,0,0,1,1,0,0,4,2,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,0,2,3,0,0,23,0,,3,3,100.0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,0,2,0,0,,0,0,0,2,,0,0,4,2,50.0,0,0,0,0,0,0,2,0,0,
24,2020-01-11,Sat,Premier League,Matchweek 22,Away,L 0–1,Brighton,Everton,N,"FW,DM",19,0,0,0,0,2,1,0,0,6,2,0,0,0,0.4,0.4,0.0,1,0,2,3,66.7,8,2,1,0,0,24,0,,2,3,66.7,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,50.0,0,0,2,0,0,,0,0,0,4,,0,0,8,4,50.0,0,0,0,0,0,0,1,0,0,
25,2020-01-18,Sat,Premier League,Matchweek 23,Home,D 1–1,Brighton,Aston Villa,N,LW,10,0,0,0,0,0,0,0,0,5,3,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,1,5,8,0,0,18,0,,2,2,100.0,0,2,0.0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,0,3,0,0,,0,0,0,0,,0,0,8,5,62.5,1,0,0,0,0,0,0,0,0,
26,2020-01-21,Tue,Premier League,Matchweek 24,Away,L 1–3,Brighton,Bournemouth,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2020-02-01,Sat,Premier League,Matchweek 25,Away,D 3–3,Brighton,West Ham,Y,FW,90,1,0,0,0,2,1,0,0,35,11,2,0,0,0.5,0.5,0.0,0,0,16,22,72.7,12,18,14,0,0,196,0,0.0,15,18,83.3,1,2,50.0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,11,7,4,1,15,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,,0,0.0,0,7,4,0,0,,2,0,2,5,,0,0,54,25,46.3,4,1,0,2,0,0,5,4,12,25.0
28,2020-02-08,Sat,Premier League,Matchweek 26,Home,D 1–1,Brighton,Watford,Y,FW,90,0,0,0,0,1,0,0,0,22,4,0,0,0,0.0,0.0,0.0,0,0,10,18,55.6,61,12,3,0,0,132,1,50.0,8,14,57.1,1,2,50.0,0,1,0,0,3,16,2,1,0,0,0,0,0,0,0,5,6,7,1,8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,75.0,0,2,2,0,0,,0,0,0,3,,0,0,44,19,43.2,2,0,0,1,0,0,2,4,5,44.4
29,2020-02-22,Sat,Premier League,Matchweek 27,Away,D 1–1,Brighton,Sheffield Utd,Y,FW,74,0,0,0,0,1,0,0,0,14,17,0,0,1,0.3,0.3,0.0,0,0,3,7,42.9,9,3,1,0,0,33,0,,3,6,50.0,0,1,0.0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,2,2,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,17.6,4,10,3,0,1,,2,0,2,2,,0,0,31,5,16.1,0,0,0,1,0,0,2,1,7,12.5
30,2020-02-29,Sat,Premier League,Matchweek 28,Home,L 0–1,Brighton,Crystal Palace,N,"FW,RW",25,0,0,0,0,1,0,0,0,11,0,0,0,0,0.0,0.0,0.0,1,0,6,8,75.0,4,8,4,0,0,72,0,,5,7,71.4,1,1,100.0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,6,1,1,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,4,,0,0,15,10,66.7,1,1,0,0,0,0,1,1,2,33.3
31,2020-03-07,Sat,Premier League,Matchweek 29,Away,D 0–0,Brighton,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2020-06-20,Sat,Premier League,Matchweek 30,Home,W 2–1,Brighton,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2020-06-23,Tue,Premier League,Matchweek 31,Away,D 0–0,Brighton,Leicester City,N,FW,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,11,0,0,0,0,0.0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,25.0,1,2,1,0,0,,0,0,0,0,,0,0,5,1,20.0,1,0,0,0,0,0,1,0,1,0.0
34,2020-06-30,Tue,Premier League,Matchweek 32,Home,L 0–3,Brighton,Manchester Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2020-07-04,Sat,Premier League,Matchweek 33,Away,W 1–0,Brighton,Norwich City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2020-07-08,Wed,Premier League,Matchweek 34,Home,L 1–3,Brighton,Liverpool,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2020-07-11,Sat,Premier League,Matchweek 35,Home,L 0–5,Brighton,Manchester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2020-07-16,Thu,Premier League,Matchweek 36,Away,D 1–1,Brighton,Southampton,Y,FW,58,0,1,0,0,3,0,0,0,19,18,0,0,1,0.1,0.1,0.1,3,1,6,11,54.5,20,7,4,0,0,70,0,0.0,6,10,60.0,0,0,,2,0,1,0,1,11,0,0,0,0,3,0,0,0,0,3,5,3,1,5,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,27.8,1,11,6,0,1,,2,0,2,5,,0,0,34,15,44.1,2,0,0,0,0,0,2,2,3,40.0
39,2020-07-20,Mon,Premier League,Matchweek 37,Home,D 0–0,Brighton,Newcastle Utd,N,FW,18,0,0,0,0,0,0,0,0,2,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,16,0,,1,1,100.0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,3,0,0,0,,0,0,0,0,,0,0,3,2,66.7,0,1,0,0,0,0,0,0,1,0.0
