,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Home,W 3–1,Tottenham,Aston Villa,Y,CM,89,1,0,0,0,2,1,0,0,66,17,2,0,1,0.0,0.0,0.4,3,0,49,57,86.0,178,59,174,1,1,770,3,60.0,38,43,88.4,8,9,88.9,2,5,3,0,5,57,0,0,0,0,2,0,0,0,0,51,1,5,4,53,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,1,17.6,3,7,7,0,1,,0,0,0,6,100.0,1,0,60,56,93.3,1,2,0,2,0,0,5,0,0,
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,D 2–2,Tottenham,Manchester City,Y,CM,90,0,1,0,0,0,0,0,0,57,24,4,1,5,0.0,0.0,0.0,1,1,37,43,86.0,194,42,75,3,3,674,0,0.0,31,34,91.2,6,8,75.0,1,3,0,0,2,41,2,2,0,1,0,0,0,0,0,41,0,2,3,40,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,3,1,0,2,66.7,1,25.0,17,7,0,0,4,,1,0,4,0,100.0,3,0,41,39,95.1,1,0,0,0,0,0,4,0,0,
4,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 4–0,Tottenham,Crystal Palace,N,DM,24,0,0,0,0,0,0,0,0,24,6,0,0,2,0.0,0.0,0.0,1,0,18,21,85.7,77,15,45,1,1,248,1,100.0,16,17,94.1,1,3,33.3,0,1,0,0,2,21,0,0,0,0,0,0,0,0,0,17,1,3,1,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,16.7,0,2,4,0,1,,0,0,2,1,100.0,1,0,22,21,95.5,0,1,0,1,0,0,1,0,0,
5,2019-09-18,Wed,Champions Lg,Group stage,Away,D 2–2,eng Tottenham,gr Olympiacos,Y,CM,61,0,0,0,0,1,1,0,0,53,14,1,3,3,0.0,0.0,0.0,2,0,38,43,88.4,173,46,149,4,4,734,0,0.0,29,33,87.9,9,9,100.0,1,4,0,0,3,43,0,0,0,1,0,0,0,0,0,39,1,3,2,39,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,3,21.4,6,5,3,0,3,,0,0,1,0,100.0,4,0,42,40,95.2,1,1,0,0,0,0,6,1,1,50.0
6,2019-09-21,Sat,Premier League,Matchweek 6,Away,L 1–2,Tottenham,Leicester City,Y,CM,85,0,0,0,0,0,0,0,0,62,27,5,0,1,0.0,0.0,0.0,2,0,33,43,76.7,193,47,86,3,6,544,0,0.0,26,31,83.9,7,11,63.6,1,4,1,0,9,43,0,0,0,2,1,0,0,0,0,30,6,7,2,40,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,1,4,0,2,40.0,3,33.3,9,14,4,0,1,,3,0,4,1,50.0,4,1,49,43,87.8,2,3,0,3,0,0,8,1,2,33.3
8,2019-09-28,Sat,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Southampton,Y,CM,77,1,0,0,0,2,1,0,0,35,18,3,0,2,0.3,0.3,0.0,3,0,22,24,91.7,125,28,51,3,5,374,1,100.0,19,21,90.5,2,2,100.0,1,1,1,0,3,21,3,3,0,1,0,0,0,0,0,17,3,4,2,20,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,0,1,100.0,0,22.2,11,5,2,0,1,,0,0,0,4,60.0,3,0,25,23,92.0,0,0,0,0,0,0,5,1,1,50.0
9,2019-10-01,Tue,Champions Lg,Group stage,Home,L 2–7,eng Tottenham,de Bayern Munich,Y,"CM,DM",63,0,0,0,0,1,1,1,0,35,17,2,0,2,0.2,0.2,0.5,2,0,22,28,78.6,161,24,88,3,3,406,0,0.0,16,16,100.0,6,11,54.5,2,3,3,1,6,21,7,1,2,1,3,5,0,2,0,21,4,3,6,21,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.0,5,23.5,6,6,5,0,2,,0,0,2,3,100.0,3,0,22,17,77.3,0,2,0,3,0,0,6,0,0,
10,2019-10-05,Sat,Premier League,Matchweek 8,Away,L 0–3,Tottenham,Brighton,Y,DM,45,0,0,0,0,0,0,0,0,25,16,1,1,1,0.0,0.0,0.0,0,0,16,19,84.2,134,19,47,2,2,290,0,0.0,14,14,100.0,2,3,66.7,0,1,0,0,1,18,1,1,0,0,0,0,0,0,0,14,2,3,4,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,50.0,1,18.8,2,11,3,0,0,,1,0,3,0,100.0,2,0,24,15,62.5,1,1,0,0,0,0,4,0,0,
11,2019-10-11,Fri,Euro Qualifying,Group stage,Away,W 1–0,fr France,is Iceland,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-10-14,Mon,Euro Qualifying,Group stage,Home,D 1–1,fr France,tr Turkey,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2019-10-19,Sat,Premier League,Matchweek 9,Home,D 1–1,Tottenham,Watford,N,CM,21,0,0,0,0,1,0,0,0,12,2,0,0,0,0.1,0.1,0.0,2,0,8,8,100.0,71,6,15,0,0,244,0,,3,3,100.0,5,5,100.0,0,1,0,0,2,8,0,0,0,2,0,0,0,0,0,5,3,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,1,1,0,0,,1,0,0,2,,0,0,10,9,90.0,1,0,0,0,0,0,1,0,0,
14,2019-10-22,Tue,Champions Lg,Group stage,Home,W 5–0,eng Tottenham,rs Red Star,Y,"DM,CM",90,0,2,0,0,1,1,0,0,74,32,2,1,2,0.0,0.0,0.3,6,2,60,65,92.3,383,63,161,0,0,1153,3,75.0,39,40,97.5,18,21,85.7,3,6,3,0,13,63,2,2,2,1,0,0,0,0,0,56,6,3,6,59,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,1,1,0,1,2,66.7,1,21.9,7,18,7,0,2,,0,0,1,0,,0,0,65,57,87.7,3,1,0,1,0,0,10,0,0,
