,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Home,W 4–0,Manchester Utd,Chelsea,Y,"CM,DM",90.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,79.0,19.0,3.0,0.0,1.0,0.1,0.1,0.6,5.0,2.0,49.0,64.0,76.6,290.0,60.0,201.0,0.0,2.0,1011.0,1.0,25.0,37.0,46.0,80.4,11.0,14.0,78.6,3.0,3.0,2.0,0.0,6.0,63.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,49.0,8.0,7.0,6.0,55.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,33.3,2.0,26.3,10.0,7.0,2.0,0.0,1.0,,1.0,0.0,4.0,2.0,0.0,0.0,0.0,57.0,56.0,98.2,5.0,1.0,0.0,2.0,0.0,0.0,16.0,4.0,0.0,100.0
2,2019-08-19,Mon,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Wolves,Y,DM,90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,102.0,16.0,0.0,2.0,1.0,0.8,0.0,0.0,2.0,0.0,77.0,92.0,83.7,327.0,69.0,108.0,0.0,1.0,1714.0,0.0,0.0,53.0,62.0,85.5,24.0,28.0,85.7,1.0,8.0,1.0,0.0,5.0,87.0,5.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,59.0,15.0,18.0,11.0,78.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31.3,2.0,10.0,4.0,0.0,0.0,,4.0,0.0,5.0,4.0,0.0,0.0,0.0,77.0,75.0,97.4,1.0,0.0,0.0,2.0,1.0,0.0,14.0,3.0,0.0,100.0
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–2,Manchester Utd,Crystal Palace,Y,"CM,DM",90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,94.0,17.0,3.0,0.0,2.0,0.3,0.3,0.1,5.0,0.0,65.0,80.0,81.3,330.0,75.0,157.0,2.0,3.0,1300.0,0.0,0.0,46.0,51.0,90.2,19.0,27.0,70.4,2.0,8.0,2.0,0.0,11.0,78.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,59.0,11.0,10.0,13.0,61.0,3.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,25.0,3.0,41.2,6.0,9.0,2.0,0.0,2.0,,0.0,0.0,0.0,6.0,66.7,2.0,0.0,73.0,69.0,94.5,0.0,4.0,0.0,2.0,0.0,0.0,16.0,5.0,1.0,83.3
4,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Manchester Utd,Southampton,Y,"CM,AM",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,14.0,2.0,1.0,0.0,0.0,0.0,0.3,8.0,0.0,52.0,62.0,83.9,360.0,62.0,176.0,3.0,4.0,1023.0,2.0,66.7,41.0,45.0,91.1,9.0,14.0,64.3,4.0,4.0,4.0,0.0,9.0,58.0,4.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,12.0,12.0,48.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,1.0,50.0,5.0,7.0,2.0,0.0,0.0,,1.0,0.0,2.0,2.0,75.0,3.0,0.0,59.0,49.0,83.1,3.0,2.0,0.0,1.0,0.0,0.0,17.0,1.0,1.0,50.0
6,2019-09-25,Wed,EFL Cup,Third round,Home,W 1 (5)–1 (3),Manchester Utd,Rochdale,Y,DM,120.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,
7,2019-09-30,Mon,Premier League,Matchweek 7,Home,D 1–1,Manchester Utd,Arsenal,Y,"CM,AM",90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,73.0,15.0,4.0,0.0,0.0,0.1,0.1,0.2,4.0,0.0,48.0,61.0,78.7,262.0,51.0,115.0,1.0,1.0,1041.0,0.0,,34.0,41.0,82.9,14.0,20.0,70.0,2.0,7.0,0.0,0.0,5.0,60.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,13.0,10.0,7.0,51.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,50.0,1.0,66.7,6.0,8.0,1.0,0.0,0.0,,1.0,0.0,3.0,0.0,100.0,1.0,0.0,54.0,50.0,92.6,0.0,2.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,100.0
9,2019-12-22,Sun,Premier League,Matchweek 18,Away,L 0–2,Manchester Utd,Watford,N,"CM,AM",27.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,4.0,0.0,26.0,29.0,89.7,213.0,19.0,55.0,0.0,0.0,484.0,3.0,75.0,16.0,18.0,88.9,7.0,7.0,100.0,1.0,4.0,2.0,0.0,5.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,7.0,4.0,22.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,2.0,1.0,,0.0,0.0,30.0,26.0,86.7,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,100.0
10,2019-12-26,Thu,Premier League,Matchweek 19,Home,W 4–1,Manchester Utd,Newcastle Utd,N,DM,45.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,79.0,11.0,2.0,0.0,0.0,0.4,0.4,0.1,3.0,0.0,64.0,70.0,91.4,219.0,61.0,109.0,1.0,2.0,1173.0,0.0,0.0,55.0,56.0,98.2,9.0,12.0,75.0,2.0,9.0,2.0,0.0,6.0,69.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,54.0,10.0,6.0,9.0,58.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,100.0,0.0,36.4,3.0,5.0,3.0,0.0,0.0,,0.0,0.0,0.0,2.0,50.0,1.0,0.0,70.0,68.0,97.1,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
12,2020-06-19,Fri,Premier League,Matchweek 30,Away,D 1–1,Manchester Utd,Tottenham,N,CM,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,18.0,19.0,94.7,117.0,18.0,31.0,2.0,2.0,391.0,0.0,,12.0,13.0,92.3,6.0,6.0,100.0,0.0,3.0,0.0,0.0,2.0,18.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,1.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,20.0,2.0,1.0,2.0,0.0,0.0,,0.0,0.0,1.0,2.0,100.0,2.0,0.0,18.0,16.0,88.9,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,
13,2020-06-24,Wed,Premier League,Matchweek 31,Home,W 3–0,Manchester Utd,Sheffield Utd,Y,DM,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,5.0,2.0,0.0,0.0,0.0,0.0,0.2,5.0,1.0,63.0,76.0,82.9,320.0,70.0,167.0,4.0,4.0,1266.0,2.0,100.0,45.0,55.0,81.8,16.0,19.0,84.2,3.0,12.0,3.0,0.0,9.0,76.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,54.0,8.0,14.0,7.0,66.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,4.0,1.0,70.0,70.0,100.0,1.0,1.0,0.0,2.0,0.0,0.0,10.0,2.0,1.0,66.7
