,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,PrgDist,Carries,PrgDist.1,Succ,TotDist,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos
1,2019-08-09,Fri,Premier League,Matchweek 1,Away,L 1–4,Norwich City,Liverpool,Y,GK,90,7,4,3,.429,0,1.6,8,29,27.6,39,6,53.8,42.5,15,53.3,43.8,10,1,10.0,0,15.2,0,0,0,0,0,0,0,0,58,0,0,0,0,0.0,0.0,0.0,0,0,573,29,79,0,934,0,0.0,13,100.0,17,40,42.5,0,1,0,0,0,38,16,1,0,1,0,0,0,0,0,21,2,31,36,9,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,55,0,,0,0,29,29,100.0,0,0
2,2019-08-17,Sat,Premier League,Matchweek 2,Home,W 3–1,Norwich City,Newcastle Utd,Y,GK,90,3,1,2,.667,0,1.2,6,16,37.5,35,6,34.3,39.1,7,57.1,53.7,10,1,10.0,0,13.8,0,0,0,0,0,0,0,0,44,0,0,0,0,0.0,0.0,0.0,0,0,519,25,44,0,1088,0,,10,100.0,22,32,68.8,0,1,0,0,0,32,10,3,0,1,0,0,0,0,0,23,3,16,29,6,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,1,0,36,0,,0,0,24,24,100.0,0,0
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 2–3,Norwich City,Chelsea,Y,GK,90,8,3,5,.625,0,1.5,5,21,23.8,31,4,51.6,41.6,10,50.0,36.5,10,0,0.0,1,13.8,0,0,0,0,0,0,0,0,45,0,0,0,0,0.0,0.0,0.0,0,0,301,22,73,0,635,0,,15,100.0,10,26,38.5,0,0,0,0,0,30,11,1,0,2,0,0,0,0,0,20,3,18,21,14,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,40,0,,0,0,23,23,100.0,0,0
4,2019-08-27,Tue,EFL Cup,Second round,Away,L 0–1,Norwich City,Crawley Town,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 0–2,Norwich City,West Ham,Y,GK,90,7,2,5,.714,0,1.8,1,7,14.3,21,7,23.8,36.2,6,33.3,39.5,5,0,0.0,0,11.4,0,0,0,0,0,0,0,0,33,0,0,0,0,0.0,0.0,0.0,0,0,348,13,25,0,526,0,,13,100.0,8,14,57.1,0,0,0,0,0,20,7,1,0,0,0,0,0,0,0,18,2,7,10,9,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,29,0,,0,0,12,12,100.0,0,0
6,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 3–2,Norwich City,Manchester City,Y,GK,90,8,2,6,.750,0,1.9,2,25,8.0,30,5,56.7,48.6,12,66.7,53.2,14,1,7.1,0,10.4,0,0,0,0,0,0,0,0,46,1,0,0,0,0.0,0.0,0.0,0,0,280,13,38,0,520,0,,11,100.0,8,31,25.8,0,0,0,0,0,28,14,2,0,1,0,0,0,0,0,12,2,28,23,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,1,0,0,0,0,,0,0,44,0,,0,0,15,15,100.0,0,0
7,2019-09-21,Sat,Premier League,Matchweek 6,Away,L 0–2,Norwich City,Burnley,Y,GK,90,6,2,4,.667,0,2.9,6,22,27.3,35,6,51.4,43.3,8,50.0,37.9,13,3,23.1,0,11.7,0,0,0,0,0,0,0,0,44,0,0,0,0,0.0,0.0,0.0,0,0,429,18,43,0,753,0,,14,100.0,12,29,41.4,0,0,0,0,0,32,11,3,0,0,0,0,0,0,0,21,2,20,23,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,41,0,,0,0,23,23,100.0,0,0
9,2019-10-19,Sat,Premier League,Matchweek 9,Away,D 0–0,Norwich City,Bournemouth,Y,GK,90,2,0,2,1.000,1,0.3,14,30,46.7,38,2,52.6,43.2,11,90.9,62.5,15,1,6.7,0,7.3,0,0,0,0,0,0,0,0,51,0,0,0,0,0.0,0.0,0.0,0,0,883,31,40,0,1262,0,,11,100.0,21,38,55.3,0,1,0,0,0,34,15,4,0,0,0,0,0,0,0,14,5,30,42,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,45,0,,0,0,31,30,96.8,0,0
10,2019-10-27,Sun,Premier League,Matchweek 10,Home,L 1–3,Norwich City,Manchester Utd,Y,GK,90,9,3,6,.667,0,5.0,4,12,33.3,21,4,47.6,37.1,8,25.0,29.4,8,1,12.5,1,16.0,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,0,0,285,17,55,0,531,0,,15,100.0,6,14,42.9,0,0,0,0,0,20,9,1,0,1,0,0,0,0,0,15,3,11,17,7,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,,0,0,0,0,0,,0,0,35,0,,0,0,14,14,100.0,0,0
11,2019-11-02,Sat,Premier League,Matchweek 11,Away,L 0–2,Norwich City,Brighton,Y,GK,90,5,2,3,.600,0,2.1,3,20,15.0,22,4,54.5,48.2,15,53.3,50.1,12,0,0.0,0,10.3,0,0,0,0,0,0,0,0,41,0,0,0,0,0.0,0.0,0.0,0,0,362,11,41,0,615,0,,9,100.0,11,28,39.3,0,0,0,0,0,17,20,5,0,1,0,0,0,0,0,17,0,20,25,7,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,36,0,,0,0,13,12,92.3,0,0
