,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Away,D 0–0,Everton,Crystal Palace,Y,CM,44,0,0,0,0,0,0,0,0,39,7,0,0,3,0.0,0.0,0.0,1,0,25,28,89.3,240,29,60,1,3,566,0,0.0,18,19,94.7,7,8,87.5,1,2,0,0,6,28,0,0,0,1,0,0,0,0,0,23,1,4,10,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,42.9,2,4,1,0,3,,1,0,1,0,33.3,1,0,31,27,87.1,1,0,0,0,0,0,7,0,0,
2,2019-08-17,Sat,Premier League,Matchweek 2,Home,W 1–0,Everton,Watford,Y,CM,90,0,0,0,0,0,0,1,0,46,16,1,0,0,0.0,0.0,0.1,3,0,31,37,83.8,172,34,140,1,2,684,0,0.0,19,20,95.0,12,16,75.0,2,1,0,0,4,34,3,2,0,3,0,0,0,0,0,27,5,5,13,24,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,2,18.8,2,12,2,0,0,,1,0,2,0,50.0,1,0,34,29,85.3,1,4,0,1,0,0,11,1,1,50.0
3,2019-08-23,Fri,Premier League,Matchweek 3,Away,L 0–2,Everton,Aston Villa,Y,CM,90,0,0,0,0,1,0,1,0,87,27,1,1,0,0.1,0.1,0.0,2,0,66,82,80.5,280,66,129,2,2,1251,0,0.0,50,56,89.3,16,24,66.7,0,11,1,0,5,80,2,1,0,4,1,0,0,0,0,56,13,13,20,58,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,20.0,4,14.8,10,14,3,0,0,,1,0,0,1,100.0,2,0,79,75,94.9,1,1,0,4,0,0,7,1,1,50.0
4,2019-08-28,Wed,EFL Cup,Second round,Away,W 4–2,Everton,Lincoln City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019-09-01,Sun,Premier League,Matchweek 4,Home,W 3–2,Everton,Wolves,Y,DM,90,0,0,0,0,0,0,0,0,64,16,4,0,1,0.0,0.0,0.1,1,0,48,55,87.3,247,40,59,1,1,1062,0,0.0,36,38,94.7,12,16,75.0,1,5,1,1,5,50,5,3,0,6,1,0,0,0,0,37,5,13,14,36,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0.0,2,50.0,1,8,7,0,1,,4,0,5,1,100.0,1,0,37,35,94.6,0,0,0,3,0,0,13,2,2,50.0
7,2019-10-05,Sat,Premier League,Matchweek 8,Away,L 0–1,Everton,Burnley,N,DM,7,0,0,0,0,0,0,0,0,6,3,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,36,3,2,0,0,106,0,,3,3,100.0,2,2,100.0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,1,0,2,0,0,,0,0,0,0,,0,0,4,2,50.0,0,0,0,0,0,0,3,0,0,
8,2019-10-11,Fri,Euro Qualifying,Group stage,Home,W 3–0,pt Portugal,lu Luxembourg,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-10-14,Mon,Euro Qualifying,Group stage,Away,L 1–2,pt Portugal,ua Ukraine,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-10-19,Sat,Premier League,Matchweek 9,Home,W 2–0,Everton,West Ham,Y,CM,90,0,0,0,0,0,0,1,0,58,19,4,2,3,0.0,0.0,0.2,3,0,38,49,77.6,356,45,113,3,4,809,1,100.0,27,35,77.1,10,13,76.9,1,10,2,0,5,48,1,1,0,1,0,0,0,0,0,34,8,7,12,31,4,0,1,1,2,3,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0.0,3,42.1,4,13,2,0,3,,0,0,1,1,75.0,3,0,35,31,88.6,2,2,0,8,0,0,18,1,0,100.0
11,2019-10-26,Sat,Premier League,Matchweek 10,Away,L 2–3,Everton,Brighton,Y,DM,90,0,0,0,0,0,0,0,0,54,18,0,0,2,0.0,0.0,0.0,0,0,41,48,85.4,155,49,122,1,1,879,0,0.0,32,35,91.4,9,12,75.0,0,5,0,0,1,47,1,1,0,4,0,0,0,0,0,37,3,8,11,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,27.8,5,10,3,0,2,,0,0,1,0,100.0,1,0,48,46,95.8,4,0,0,2,0,0,5,0,0,
