,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
13,13/10/2019,Sun,Euro Qualifying,Group stage,Away,W 2–1,nl Netherlands,by Belarus,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19/10/2019,Sat,Premier League,Matchweek 9,Home,L 0–2,Crystal Palace,Manchester City,Y,LB,90,0,0,0,0,1,0,0,0,51,23,4,3,3,0.1,0.1,0,2,0,30,36,83.3,214,27,86,0,0,586,1,100,21,24,87.5,8,11,72.7,1,5,0,0,6,31,5,1,0,2,0,1,0,1,0,24,7,5,28,5,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,4,2,1,1,1,25,3,13,19,1,3,0,3,,3,0,5,1,,0,0,29,28,96.6,2,0,0,0,0,0,5,0,0,
15,27/10/2019,Sun,Premier League,Matchweek 10,Away,D 2–2,Crystal Palace,Arsenal,Y,LB,90,0,0,0,0,1,1,0,0,52,20,2,2,3,0.1,0.1,0.1,3,0,38,42,90.5,331,28,66,0,2,747,0,,30,31,96.8,8,11,72.7,2,3,0,0,10,31,11,3,0,2,1,1,1,0,0,27,7,8,30,5,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,1,100,0,25,11,8,1,0,3,,0,0,1,2,0,0,0,31,27,87.1,0,1,0,0,0,0,7,0,0,
16,03/11/2019,Sun,Premier League,Matchweek 11,Home,L 0–2,Crystal Palace,Leicester City,Y,LB,90,0,0,0,0,2,0,0,0,66,11,4,0,2,0,0,0,0,0,39,49,79.6,256,25,61,0,0,637,0,,35,41,85.4,4,8,50,0,1,0,0,8,36,13,2,0,1,1,1,1,0,0,28,15,6,29,9,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,0,3,50,3,36.4,7,2,2,0,2,,6,1,3,0,,0,0,33,30,90.9,1,1,0,0,0,0,8,0,0,
17,09/11/2019,Sat,Premier League,Matchweek 12,Away,L 0–2,Crystal Palace,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,56,5,1,0,2,0,0,0.1,1,0,38,48,79.2,316,32,111,1,1,716,0,,31,37,83.8,7,11,63.6,1,3,1,0,6,40,8,1,0,3,1,0,0,0,0,29,12,7,32,8,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,60,3,1,1,0,2,,2,0,1,0,100,1,0,35,35,100,2,1,0,0,0,0,8,0,0,
18,16/11/2019,Sat,Euro Qualifying,Group stage,Away,D 0–0,nl Netherlands,nir Northern Ireland,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19/11/2019,Tue,Euro Qualifying,Group stage,Home,W 5–0,nl Netherlands,ee Estonia,Y,LB,90,0,0,0,0,4,1,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
20,23/11/2019,Sat,Premier League,Matchweek 13,Home,L 1–2,Crystal Palace,Liverpool,Y,LB,90,0,0,0,0,1,0,0,0,50,10,2,1,1,0,0,0,2,0,30,41,73.2,170,25,37,0,0,496,0,0,25,32,78.1,5,7,71.4,1,1,2,0,3,35,6,0,0,0,1,2,2,0,0,23,11,7,27,7,1,4,1,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,50,2,20,6,4,0,0,1,,3,1,4,2,,0,0,27,23,85.2,0,0,0,1,0,0,13,2,0,100
21,30/11/2019,Sat,Premier League,Matchweek 14,Away,W 2–0,Crystal Palace,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,66,1,0,1,1,0,0,0,1,0,49,59,83.1,320,31,50,1,2,740,0,,46,52,88.5,3,7,42.9,0,3,0,0,3,44,15,3,0,0,0,0,0,0,0,37,13,9,34,11,2,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,,2,0,3,2,50,1,0,42,36,85.7,0,0,0,0,0,0,7,1,0,100
22,03/12/2019,Tue,Premier League,Matchweek 15,Home,W 1–0,Crystal Palace,Bournemouth,Y,LB,28,0,0,0,0,0,0,0,0,23,3,2,1,1,0,0,0,0,0,17,19,89.5,122,14,42,0,0,272,1,100,14,16,87.5,2,2,100,0,0,0,0,4,16,3,0,0,0,0,0,0,0,0,10,9,0,10,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,66.7,1,2,0,0,1,,0,0,1,2,,0,0,11,11,100,0,1,0,0,0,0,5,0,0,
24,21/12/2019,Sat,Premier League,Matchweek 18,Away,L 0–1,Crystal Palace,Newcastle Utd,Y,LB,90,0,0,0,0,1,0,0,0,89,1,0,0,1,0,0,0.5,6,0,72,82,87.8,541,56,189,2,4,1237,2,50,60,63,95.2,10,15,66.7,5,6,3,1,10,65,17,3,0,2,2,5,3,2,0,53,13,16,58,12,3,9,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,,2,0,2,1,50,2,0,62,60,96.8,0,1,0,0,0,0,9,0,1,0
25,26/12/2019,Thu,Premier League,Matchweek 19,Home,W 2–1,Crystal Palace,West Ham,Y,LB,64,0,0,0,0,1,0,0,0,74,3,0,2,1,0.1,0.1,0,3,0,57,67,85.1,358,57,156,2,2,934,0,,54,59,91.5,3,8,37.5,1,4,1,0,6,62,5,1,0,1,3,1,1,0,0,50,10,7,44,16,4,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,33.3,1,0,2,0,1,,1,0,5,3,100,2,1,54,51,94.4,0,1,0,0,0,0,12,0,0,
