,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,PrgDist,Carries,PrgDist.1,Succ,TotDist,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos
11,2019-09-28,Sat,Premier League,Matchweek 7,Away,D 2–2,West Ham,Bournemouth,Y,GK,33,1,1,0,.000,0,0.5,3,9,33.3,9,1,77.8,55.3,2,100.0,74.5,5,0,0.0,0,12.5,0,0,0,0,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,0,0,212,8,13,0,270,0,,0,,5,11,45.5,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,2,0,9,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,10,0,,0,0,6,6,100.0,0,0
13,2019-12-28,Sat,Premier League,Matchweek 20,Home,L 1–2,West Ham,Leicester City,Y,GK,90,6,2,4,.667,0,2.2,5,15,33.3,22,4,54.5,46.7,3,100.0,60.0,7,0,0.0,0,13.1,0,0,0,0,0,0,1,0,27,3,0,0,0,0.0,0.0,0.0,0,0,454,8,18,0,608,0,,4,100.0,11,21,52.4,0,1,0,0,0,20,5,2,0,0,0,0,0,0,0,6,4,15,2,17,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,3,0,0,0,0,,0,0,25,0,,0,0,12,12,100.0,0,0
14,2020-01-01,Wed,Premier League,Matchweek 21,Home,W 4–0,West Ham,Bournemouth,Y,GK,90,2,0,2,1.000,1,0.0,4,21,19.0,23,3,82.6,54.4,2,100.0,63.0,8,0,0.0,0,13.9,0,0,0,0,0,0,0,0,25,0,0,0,0,0.0,0.0,0.0,0,0,257,19,47,0,337,0,,1,100.0,7,24,29.2,0,0,0,0,0,21,4,2,0,1,0,0,0,0,0,2,1,22,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,22,0,,0,0,13,13,100.0,0,0
15,2020-01-05,Sun,FA Cup,Third round,Away,W 2–0,West Ham,Gillingham,Y,GK,90,4,0,4,1.000,1,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
16,2020-01-10,Fri,Premier League,Matchweek 22,Away,L 0–1,West Ham,Sheffield Utd,Y,GK,14,0,0,0,,0,0.0,3,4,75.0,2,0,100.0,72.0,2,100.0,57.5,2,0,0.0,0,,0,0,0,0,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,0,0,158,1,7,0,200,0,,0,,3,4,75.0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,4,0,,0,0,1,1,100.0,0,0
18,2020-01-29,Wed,Premier League,Matchweek 18,Home,L 0–2,West Ham,Liverpool,Y,GK,90,4,2,3,.750,0,1.8,9,17,52.9,20,6,65.0,45.7,4,100.0,66.0,6,0,0.0,1,13.1,0,0,0,0,0,0,0,0,27,1,0,0,0,0.0,0.0,0.0,0,0,532,17,58,0,718,0,,1,100.0,15,23,65.2,0,0,0,0,0,20,4,0,0,1,0,0,0,0,0,4,2,18,2,14,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100.0,1,0,0,0,0,,0,0,26,0,,0,0,8,8,100.0,0,0
19,2020-02-01,Sat,Premier League,Matchweek 25,Home,D 3–3,West Ham,Brighton,Y,GK,90,6,3,4,.500,0,2.6,15,23,65.2,13,1,84.6,57.0,12,100.0,66.7,12,2,16.7,0,13.5,0,0,0,0,0,0,0,0,31,0,0,0,0,0.0,0.0,0.0,0,0,805,8,32,0,1002,0,,1,100.0,16,24,66.7,0,0,0,0,0,11,14,2,0,0,0,0,0,0,0,1,0,24,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,1,1,30,0,,0,0,7,6,85.7,0,0
20,2020-02-19,Wed,Premier League,Matchweek 26,Away,L 0–2,West Ham,Manchester City,Y,GK,90,6,2,4,.667,0,1.2,12,26,46.2,21,7,81.0,52.7,9,100.0,67.1,14,2,14.3,0,8.1,0,0,0,0,0,0,0,0,35,1,0,0,0,0.0,0.0,0.0,0,0,568,13,41,0,791,0,,1,100.0,15,29,51.7,0,0,0,0,0,18,12,3,0,0,0,0,0,0,0,6,4,20,1,19,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,,1,0,32,0,,0,0,6,6,100.0,0,0
21,2020-02-24,Mon,Premier League,Matchweek 27,Away,L 2–3,West Ham,Liverpool,Y,GK,90,7,3,4,.571,0,2.5,12,26,46.2,14,2,71.4,50.6,17,94.1,69.5,18,1,5.6,0,7.4,0,0,0,0,0,0,0,0,37,1,0,0,0,0.0,0.0,0.0,0,0,731,6,43,0,914,0,0.0,1,100.0,15,29,51.7,0,0,0,0,0,11,20,3,0,1,0,0,0,0,0,1,3,27,0,24,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,1,0,0,0,0,,0,1,35,0,,0,0,5,4,80.0,0,0
22,2020-02-29,Sat,Premier League,Matchweek 28,Home,W 3–1,West Ham,Southampton,Y,GK,90,2,1,1,.500,0,1.4,3,14,21.4,12,2,75.0,57.8,6,83.3,58.3,9,0,0.0,0,7.0,0,0,0,0,0,0,0,0,19,0,0,0,0,0.0,0.0,0.0,0,0,235,7,9,0,283,0,,1,100.0,5,17,29.4,0,0,0,0,0,9,9,3,0,0,0,0,0,0,0,1,1,16,0,15,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,16,0,,0,0,6,6,100.0,0,0
23,2020-03-07,Sat,Premier League,Matchweek 29,Away,L 0–1,West Ham,Arsenal,Y,GK,90,2,1,1,.500,0,1.0,13,24,54.2,22,3,72.7,50.3,8,100.0,65.0,11,0,0.0,1,13.7,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,818,15,104,0,946,0,,5,100.0,14,25,56.0,0,1,0,0,0,18,12,4,0,0,0,0,0,0,0,3,3,24,1,23,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,27,0,,0,0,8,8,100.0,1,0
24,2020-06-20,Sat,Premier League,Matchweek 30,Home,L 0–2,West Ham,Wolves,Y,GK,90,6,2,4,.667,0,0.8,5,10,50.0,19,8,36.8,38.0,3,100.0,68.3,7,0,0.0,0,12.3,0,0,0,0,0,0,0,0,23,0,0,0,0,0.0,0.0,0.0,0,0,422,12,40,0,576,0,,7,100.0,10,15,66.7,0,1,0,0,0,18,4,1,0,1,0,0,0,0,0,8,5,9,0,13,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,20,0,,0,0,7,7,100.0,0,0
25,2020-06-23,Tue,Premier League,Matchweek 31,Away,L 0–2,West Ham,Tottenham,Y,GK,90,4,2,3,.500,0,0.8,11,29,37.9,23,1,69.6,53.7,15,86.7,62.2,7,0,0.0,0,10.7,0,0,0,0,0,0,0,0,43,0,0,0,0,0.0,0.0,0.0,0,0,767,15,28,0,982,0,,3,100.0,17,35,48.6,0,1,0,0,0,19,19,4,0,2,0,0,0,0,0,9,1,28,0,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,37,0,,0,0,15,15,100.0,0,0
26,2020-07-01,Wed,Premier League,Matchweek 32,Home,W 3–2,West Ham,Chelsea,Y,GK,90,5,2,4,.800,0,1.9,9,22,40.9,16,1,87.5,60.0,8,100.0,68.0,20,0,0.0,0,7.0,0,0,0,0,0,0,0,0,25,0,0,0,0,0.0,0.0,0.0,0,0,539,9,38,0,,,,,,,,,,,,,,13,11,3,0,1,0,0,0,0,0,2,0,22,1,16,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,20,0,,0,0,6,6,100.0,0,0
27,2020-07-05,Sun,Premier League,Matchweek 33,Away,D 2–2,West Ham,Newcastle Utd,Y,GK,90,4,2,2,.500,0,1.7,5,19,26.3,24,5,50.0,43.5,7,100.0,72.4,8,0,0.0,0,9.7,0,0,0,0,0,0,0,0,34,0,0,0,0,0.0,0.0,0.0,0,0,449,14,64,0,,,,,,,,,,,,,,20,11,4,0,1,0,0,0,0,0,9,4,18,0,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,29,0,,0,0,10,10,100.0,0,0
28,2020-07-08,Wed,Premier League,Matchweek 34,Home,L 0–1,West Ham,Burnley,Y,GK,90,4,1,3,.750,0,2.4,12,20,60.0,21,4,71.4,49.5,5,100.0,62.2,11,0,0.0,0,12.7,0,0,0,0,0,0,0,0,28,0,0,0,0,0.0,0.0,0.0,0,0,654,12,33,0,597,0,,2,100.0,9,22,40.9,0,0,0,0,0,16,10,5,0,1,0,0,0,0,0,6,2,18,3,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,24,0,,0,0,11,11,100.0,0,0
29,2020-07-11,Sat,Premier League,Matchweek 35,Away,W 4–0,West Ham,Norwich City,Y,GK,90,2,0,2,1.000,1,0.5,9,15,60.0,21,5,42.9,40.0,10,60.0,52.8,6,0,0.0,0,16.0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,691,12,38,0,585,0,,7,100.0,10,24,41.7,0,0,0,0,0,19,12,2,0,0,0,0,0,0,0,12,3,16,0,26,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,31,0,,0,0,11,11,100.0,0,0
30,2020-07-17,Fri,Premier League,Matchweek 36,Home,W 3–1,West Ham,Watford,Y,GK,90,3,1,2,.667,0,1.0,12,27,44.4,14,1,100.0,67.3,13,100.0,68.8,18,2,11.1,0,8.0,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,622,7,59,0,815,0,,2,100.0,15,24,62.5,0,0,0,0,0,9,18,5,0,1,0,0,0,0,0,0,1,26,0,23,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,27,0,,0,0,3,3,100.0,0,0
31,2020-07-22,Wed,Premier League,Matchweek 37,Away,D 1–1,West Ham,Manchester Utd,Y,GK,90,4,1,3,.750,0,0.8,9,18,50.0,21,2,66.7,46.0,9,44.4,37.3,5,0,0.0,0,9.0,0,0,0,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0,0,411,16,37,0,971,0,,6,100.0,19,25,76.0,0,1,0,0,0,18,12,3,0,4,0,0,0,0,0,12,0,18,4,23,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,29,0,,0,0,14,14,100.0,0,0
32,2020-07-26,Sun,Premier League,Matchweek 38,Home,D 1–1,West Ham,Aston Villa,Y,GK,90,4,1,3,.750,0,0.2,8,19,42.1,24,7,62.5,44.4,6,66.7,51.8,10,1,10.0,1,16.5,0,0,0,0,0,0,0,0,30,0,0,0,0,0.0,0.0,0.0,0,0,396,11,48,0,765,0,,0,,12,27,44.4,0,1,0,0,0,22,8,2,0,3,0,0,0,0,0,10,2,18,0,20,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,27,0,,0,0,10,10,100.0,0,0
