,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,PrgDist,Carries,PrgDist.1,Succ,TotDist,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos
1,2019-08-10,Sat,Premier League,Matchweek 1,Home,L 0–3,Watford,Brighton,Y,GK,90,3,3,1,.000,0,1.0,6,17,35.3,17,2,64.7,49.6,7,85.7,65.1,5,2,40.0,0,,0,0,0,0,0,0,0,0,24,0,0,0,0,0.0,0.0,0.0,0,0,400,12,29,0,522,0,,5,100.0,8,19,42.1,0,2,0,0,0,15,9,2,0,3,0,0,0,0,0,6,1,17,21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,,0,0,0,0,0,,0,0,18,0,,0,0,12,12,100.0,0,0
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 0–1,Watford,Everton,Y,GK,90,2,1,1,.500,0,0.8,7,26,26.9,25,1,72.0,53.2,9,88.9,64.2,5,0,0.0,1,14.3,0,0,0,0,0,0,0,0,34,0,0,0,0,0.0,0.0,0.0,0,0,530,18,83,0,622,0,,7,100.0,8,27,29.6,0,1,1,0,0,21,13,4,0,0,0,0,0,0,0,10,0,24,27,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,26,0,,0,0,15,15,100.0,0,0
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–3,Watford,West Ham,Y,GK,90,9,3,6,.778,0,3.9,7,9,77.8,24,10,33.3,33.3,4,25.0,34.3,6,0,0.0,1,14.0,0,0,0,0,0,0,0,0,31,0,0,0,0,0.0,0.0,0.0,1,0,589,15,64,0,789,0,,13,100.0,12,15,80.0,0,1,0,0,0,23,5,1,0,1,0,0,0,0,0,16,4,8,10,7,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,26,0,,0,0,10,10,100.0,0,0
5,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Watford,Newcastle Utd,Y,GK,90,4,1,3,.750,0,0.7,7,31,22.6,36,7,66.7,50.5,7,100.0,62.3,14,5,35.7,0,13.8,0,0,0,0,0,0,0,0,47,0,0,0,0,0.0,0.0,0.0,0,0,471,23,47,1,660,0,,5,100.0,14,38,36.8,0,0,0,0,0,31,12,5,0,1,0,0,0,0,0,9,4,30,30,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,41,0,100.0,1,0,15,15,100.0,0,0
6,2019-09-15,Sun,Premier League,Matchweek 5,Home,D 2–2,Watford,Arsenal,Y,GK,90,4,2,2,.500,0,1.7,7,11,63.6,8,5,62.5,43.6,6,100.0,72.0,2,0,0.0,1,16.5,0,0,0,0,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,0,0,425,5,11,0,509,0,,1,100.0,9,13,69.2,0,0,0,0,0,8,6,0,0,1,0,0,0,0,0,2,2,10,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,14,0,,0,0,3,3,100.0,0,0
7,2019-09-21,Sat,Premier League,Matchweek 6,Away,L 0–8,Watford,Manchester City,Y,GK,90,11,8,4,.364,0,6.3,3,28,10.7,28,5,67.9,49.4,9,100.0,72.8,14,0,0.0,0,9.0,0,0,0,0,0,0,0,0,40,2,0,0,0,0.0,0.0,0.0,0,0,279,21,106,0,378,0,,3,100.0,8,34,23.5,0,1,0,0,0,24,13,3,0,1,0,0,0,0,0,7,0,30,25,5,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,2,0,0,0,0,,0,0,35,0,,0,0,16,16,100.0,0,0
9,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Watford,Wolves,Y,GK,90,2,2,1,.000,0,1.0,4,16,25.0,22,3,45.5,38.0,6,100.0,71.0,8,0,0.0,2,13.4,0,0,0,0,0,0,0,0,29,0,0,0,0,0.0,0.0,0.0,0,0,326,15,39,0,455,0,,9,100.0,7,19,36.8,0,0,0,0,0,21,7,1,0,0,0,0,0,0,0,10,2,16,19,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,22,0,,0,0,13,13,100.0,0,0
10,2019-10-05,Sat,Premier League,Matchweek 8,Home,D 0–0,Watford,Sheffield Utd,Y,GK,90,2,0,2,1.000,1,0.1,9,25,36.0,24,3,83.3,56.3,7,71.4,56.0,16,2,12.5,3,21.3,0,0,0,0,0,0,0,0,34,0,0,0,0,0.0,0.0,0.0,0,0,537,11,48,0,647,0,,3,100.0,11,28,39.3,0,2,0,0,0,19,12,5,0,2,0,0,0,0,0,7,1,23,22,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,22,0,,0,0,10,9,90.0,0,0
11,2019-10-19,Sat,Premier League,Matchweek 9,Away,D 1–1,Watford,Tottenham,Y,GK,90,3,1,1,.667,0,1.0,6,37,16.2,31,2,93.5,61.3,8,100.0,72.5,20,1,5.0,1,14.9,0,0,0,0,0,0,0,0,43,0,0,0,0,0.0,0.0,0.0,0,0,332,22,46,1,427,0,,2,100.0,6,37,16.2,0,0,0,0,0,25,14,6,0,2,0,0,0,0,0,2,0,37,23,6,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,1,35,0,100.0,1,0,16,16,100.0,0,0
12,2019-10-26,Sat,Premier League,Matchweek 10,Home,D 0–0,Watford,Bournemouth,Y,GK,90,5,0,5,1.000,1,1.2,7,26,26.9,28,4,78.6,55.4,4,100.0,69.3,9,2,22.2,0,16.4,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,1,0,448,16,62,0,561,0,,2,66.7,10,29,34.5,0,0,0,0,0,22,10,6,0,1,0,0,0,0,0,4,1,27,18,5,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,30,0,,0,0,13,13,100.0,0,0
