,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Home,D 0–0,Crystal Palace,Everton,Y*,CM,90,0,0,0,0,0,0,1,0,51,9,4,4,2,0.0,0.0,0.2,3,0,24,36,66.7,293,17,25,0,0,581,0,0.0,16,23,69.6,8,12,66.7,3,1,0,0,8,27,9,7,0,4,0,2,2,0,0,15,6,15,4,27,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,3,1,2,66.7,1,11.1,3,5,1,0,2,,3,1,0,0,,0,0,19,17,89.5,2,0,0,7,0,0,10,4,0,100.0
2,2019-08-18,Sun,Premier League,Matchweek 2,Away,L 0–1,Crystal Palace,Sheffield Utd,Y*,CM,90,0,0,0,0,1,0,0,0,74,16,3,2,0,0.0,0.0,0.0,1,0,47,64,73.4,188,44,99,0,0,917,1,100.0,36,38,94.7,10,25,40.0,1,2,0,0,6,49,15,8,0,3,2,4,2,0,2,36,6,22,6,51,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,2,100.0,0,25.0,12,3,1,0,0,,1,0,0,0,,0,0,41,38,92.7,0,3,0,3,0,0,13,2,1,66.7
3,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 2–1,Crystal Palace,Manchester Utd,Y*,DM,90,0,0,0,0,0,0,1,0,43,21,2,2,0,0.0,0.0,0.1,1,0,21,33,63.6,149,17,26,0,0,452,0,0.0,15,21,71.4,6,11,54.5,1,0,1,0,3,30,3,2,0,3,0,1,1,0,0,14,6,13,8,21,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,50.0,1,9.5,15,6,0,0,0,,7,0,7,0,,0,0,18,18,100.0,0,0,0,3,0,1,9,1,1,50.0
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,W 1–0,Crystal Palace,Aston Villa,Y*,DM,90,0,0,0,0,2,2,1,0,88,13,0,0,0,0.1,0.1,0.4,6,0,63,83,75.9,624,41,108,0,0,1511,0,0.0,43,46,93.5,20,36,55.6,5,8,2,0,19,61,22,9,0,12,7,13,6,6,0,44,9,30,5,76,1,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,7.7,5,5,3,0,0,,1,0,2,1,,0,0,55,54,98.2,1,0,0,3,0,0,9,1,0,100.0
6,2019-09-07,Sat,Euro Qualifying,Group stage,Home,L 2–4,rs Serbia,pt Portugal,Y,DM,86,0,0,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,
7,2019-09-10,Tue,Euro Qualifying,Group stage,Away,W 3–1,rs Serbia,lu Luxembourg,Y,DM,90,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,
8,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham,Y*,DM,90,0,0,0,0,0,0,1,0,51,22,3,3,0,0.0,0.0,0.1,3,0,32,38,84.2,259,23,51,1,2,760,2,100.0,18,19,94.7,12,17,70.6,1,0,0,0,7,26,12,9,0,4,3,3,2,1,0,22,2,14,5,32,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,1,2,0,1,50.0,1,22.7,10,8,4,0,0,,2,0,3,0,50.0,1,0,26,25,96.2,2,0,0,1,0,0,5,0,0,
9,2019-09-22,Sun,Premier League,Matchweek 6,Home,D 1–1,Crystal Palace,Wolves,Y*,DM,90,0,0,0,0,2,0,0,0,80,8,2,1,2,0.0,0.0,0.0,1,0,54,73,74.0,324,49,100,0,0,1167,0,0.0,38,48,79.2,16,23,69.6,1,6,0,0,8,63,10,4,0,5,0,6,3,2,0,49,6,18,10,61,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,1,50.0,5,2,1,0,2,,1,0,2,0,,0,0,52,46,88.5,0,0,0,0,0,0,16,1,1,50.0
10,2019-09-28,Sat,Premier League,Matchweek 7,Home,W 2–0,Crystal Palace,Norwich City,Y*,DM,90,1,0,1,1,0,0,1,0,56,30,4,0,3,0.8,0.0,0.1,3,0,40,50,80.0,273,28,63,0,0,888,1,50.0,24,28,85.7,15,20,75.0,1,7,1,0,6,42,8,3,0,4,0,5,1,3,0,24,10,16,6,40,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,4,2,2,0,3,75.0,1,26.7,12,13,5,0,3,,0,0,2,1,,0,0,33,32,97.0,0,0,0,2,0,0,8,1,1,50.0
11,2019-10-10,Thu,Friendlies (M),Friendlies (M),Home,W 1–0,rs Serbia,py Paraguay,Y,DM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
