,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-09-20,Fri,PL2 — Div. 1,Matchweek 6,Away,D 2–2,Arsenal,Wolves,Y*,RB,62,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2,2019-09-24,Tue,EFL Cup,Third round,Home,W 5–0,Arsenal,Nott'ham Forest,N,,14,0,1,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
3,2019-09-28,Sat,PL2 — Div. 1,Matchweek 7,Home,D 2–2,Arsenal,Liverpool,Y,RM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4,2019-10-03,Thu,Europa Lg,Group stage,Home,W 4–0,eng Arsenal,be Standard Liège,Y*,RB,90,0,0,0,0,1,0,1,0,61,3,0,1,1,0.0,0.0,0.2,2,0,41,53,77.4,152,41,161,1,3,699,1,50.0,31,39,79.5,9,12,75.0,2,1,2,1,4,48,5,0,0,0,1,0,0,0,0,37,5,11,6,36,5,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,33.3,2,0,1,0,0,,1,0,2,1,33.3,1,0,50,43,86.0,1,1,0,0,0,0,9,1,0,100.0
6,2019-10-24,Thu,Europa Lg,Group stage,Home,W 3–2,eng Arsenal,pt Vitória,Y*,RB,90,0,0,0,0,0,0,0,0,66,10,1,0,0,0.0,0.0,0.3,1,0,46,53,86.8,227,47,159,3,7,850,1,50.0,39,44,88.6,6,7,85.7,1,5,0,0,8,47,6,1,0,1,3,0,0,0,0,37,8,8,3,43,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,100.0,0,30.0,3,5,2,0,0,,6,0,3,3,42.9,4,0,49,45,91.8,0,1,0,2,0,0,7,3,3,50.0
7,2019-10-27,Sun,Premier League,Matchweek 10,Home,D 2–2,Arsenal,Crystal Palace,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-10-30,Wed,EFL Cup,Fourth round,Away,L 5 (4)–5 (5),Arsenal,Liverpool,Y*,RB,120,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
9,2019-11-02,Sat,Premier League,Matchweek 11,Home,D 1–1,Arsenal,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019-11-06,Wed,Europa Lg,Group stage,Away,D 1–1,eng Arsenal,pt Vitória,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019-11-09,Sat,Premier League,Matchweek 12,Away,L 0–2,Arsenal,Leicester City,Y,"WB,RB",90,0,0,0,0,1,0,1,0,73,12,1,0,2,0.1,0.1,0.1,3,0,52,64,81.3,272,50,226,0,3,837,0,0.0,46,52,88.5,6,9,66.7,1,4,0,0,7,49,15,1,0,0,5,0,0,0,0,43,17,4,7,43,0,14,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,33.3,5,5,2,0,1,,1,0,1,3,0.0,2,1,59,53,89.8,1,0,0,0,0,0,1,0,1,0.0
