,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Away,L 0–3,Southampton,Burnley,Y,CB,90,0,0,0,0,1,1,0,0,57,8,2,0,2,0.1,0.1,0.0,0,0,29,45,64.4,161,21,65,0,0,508,0,,25,27,92.6,4,18,22.2,0,3,1,0,3,37,8,1,0,0,0,0,0,0,0,20,5,20,13,19,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,2,37.5,4,4,0,0,2,,7,0,4,1,,0,0,25,25,100.0,0,0,0,0,0,0,13,2,2,50.0
2,2019-08-17,Sat,Premier League,Matchweek 2,Home,L 1–2,Southampton,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,41,11,1,0,2,0.0,0.0,0.0,0,0,16,21,76.2,191,9,24,0,0,377,0,0.0,10,12,83.3,6,8,75.0,0,2,0,0,4,17,4,0,0,1,1,0,0,0,0,6,6,9,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,18.2,8,3,0,0,2,,17,0,9,1,,0,0,9,8,88.9,0,0,0,0,0,0,9,5,0,100.0
3,2019-08-24,Sat,Premier League,Matchweek 3,Away,W 2–0,Southampton,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,49,8,4,1,0,0.0,0.0,0.0,1,0,34,38,89.5,218,26,65,0,0,596,0,,29,30,96.7,5,8,62.5,1,2,0,0,2,37,1,1,0,0,0,0,0,0,0,26,7,5,5,26,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,4,0,0,2,66.7,1,25.0,4,4,0,0,0,,6,0,6,1,,0,0,30,29,96.7,1,0,0,0,0,0,6,2,2,50.0
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,D 1–1,Southampton,Manchester Utd,Y,CB,90,1,0,0,0,1,1,0,0,53,6,2,1,2,0.2,0.2,0.0,0,0,35,38,92.1,190,29,54,0,1,775,0,,23,25,92.0,12,13,92.3,0,3,0,0,2,38,0,0,0,1,0,0,0,0,0,31,3,4,10,23,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,100.0,0,0.0,4,2,0,0,1,,9,0,9,1,0.0,0,0,30,28,93.3,0,0,0,2,0,0,11,3,1,75.0
6,2019-09-14,Sat,Premier League,Matchweek 5,Away,W 1–0,Southampton,Sheffield Utd,Y,CB,90,0,0,0,0,2,2,1,0,72,13,2,0,1,0.1,0.1,0.0,0,0,45,57,78.9,348,28,13,0,0,888,0,,33,36,91.7,12,21,57.1,0,1,0,0,2,49,8,1,0,1,0,0,0,0,0,36,5,16,15,30,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,1,53.8,9,4,0,0,1,,10,0,6,2,,0,0,38,37,97.4,0,0,0,1,0,0,13,7,1,87.5
7,2019-09-20,Fri,Premier League,Matchweek 6,Home,L 1–3,Southampton,Bournemouth,Y,CB,90,0,0,0,0,2,0,0,0,77,9,1,0,5,0.1,0.1,0.0,0,0,50,61,82.0,243,48,101,1,1,1027,1,100.0,37,41,90.2,12,19,63.2,0,6,0,0,3,59,2,1,0,0,0,0,0,0,0,48,4,9,17,39,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,0.0,7,2,0,0,4,,5,0,4,2,100.0,1,0,51,51,100.0,0,1,0,0,0,0,11,3,0,100.0
9,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 1–2,Southampton,Tottenham,Y,CB,78,0,0,0,0,0,0,0,0,58,8,3,0,1,0.0,0.0,0.0,2,0,49,53,92.5,381,39,135,0,0,959,1,100.0,38,38,100.0,10,14,71.4,2,10,1,0,6,50,3,1,0,1,0,0,0,0,0,44,4,5,18,33,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,2,66.7,1,37.5,5,3,0,0,0,,1,0,4,0,,0,0,45,45,100.0,0,0,0,0,0,0,5,0,2,0.0
11,2019-10-19,Sat,Premier League,Matchweek 9,Away,D 1–1,Southampton,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,50,9,0,1,0,0.0,0.0,0.0,0,0,32,40,80.0,242,23,84,0,0,740,0,,22,27,81.5,10,13,76.9,0,1,0,0,5,33,7,4,0,3,0,0,0,0,0,26,5,9,13,22,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,55.6,5,4,0,0,0,,9,0,3,1,,0,0,26,25,96.2,0,0,0,1,0,0,9,2,3,40.0
12,2019-10-25,Fri,Premier League,Matchweek 10,Home,L 0–9,Southampton,Leicester City,Y,CB,45,0,0,0,0,0,0,0,0,21,3,0,1,1,0.0,0.0,0.0,0,0,7,16,43.8,67,10,13,0,0,113,0,0.0,6,8,75.0,1,7,14.3,0,1,0,0,1,13,3,3,0,2,0,0,0,0,0,6,3,7,5,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,100.0,1,2,0,0,1,,3,0,4,0,,0,0,10,10,100.0,0,0,0,0,0,0,3,1,0,100.0
13,2019-10-29,Tue,EFL Cup,Fourth round,Away,L 1–3,Southampton,Manchester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
