,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–3,Newcastle Utd,Norwich City,N,FW,24,0,0,0,0,0,0,0,0,7,8,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,6,6,0,0,54,0,,4,4,100.0,0,0,,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,12.5,1,2,5,0,0,,0,0,0,1,,0,0,9,6,66.7,1,2,0,1,0,0,0,0,2,0.0
3,2019-08-25,Sun,Premier League,Matchweek 3,Away,W 1–0,Newcastle Utd,Tottenham,N,FW,3,0,0,0,0,0,0,0,0,3,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,3,19,1,2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,1,1,0,0,,0,0,0,0,50.0,1,0,4,2,50.0,1,1,0,0,0,0,1,0,1,0.0
4,2019-08-28,Wed,EFL Cup,Second round,Home,L 1 (2)–1 (4),Newcastle Utd,Leicester City,Y,FW,120,1,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,D 1–1,Newcastle Utd,Watford,N,AM,9,0,0,0,0,1,0,0,0,6,4,0,0,0,0.1,0.1,0.0,0,0,2,3,66.7,0,3,24,0,0,10,1,50.0,1,1,100.0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,25.0,0,2,2,0,0,,0,0,0,2,,0,0,9,4,44.4,1,0,0,0,0,0,1,0,0,
6,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 1–3,Newcastle Utd,Liverpool,N,RW,24,0,0,0,0,0,0,0,0,4,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,4,10,1,1,35,0,,3,3,100.0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,40.0,1,2,2,0,0,,0,0,0,0,100.0,1,0,15,4,26.7,0,0,0,0,0,0,0,0,0,
7,2019-09-21,Sat,Premier League,Matchweek 6,Home,D 0–0,Newcastle Utd,Brighton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-29,Sun,Premier League,Matchweek 7,Away,L 0–5,Newcastle Utd,Leicester City,Y,AM,44,0,0,0,0,0,0,0,0,7,7,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,65,6,67,0,0,114,0,,1,1,100.0,3,4,75.0,0,1,0,0,2,4,1,1,0,0,0,0,0,0,0,4,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,42.9,1,2,4,0,0,,0,0,0,0,,0,0,10,5,50.0,1,1,0,0,0,0,2,0,0,
10,2019-10-27,Sun,Premier League,Matchweek 10,Home,D 1–1,Newcastle Utd,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-12-14,Sat,Premier League,Matchweek 17,Away,L 0–1,Newcastle Utd,Burnley,N,RM,11,0,0,0,0,0,0,0,0,6,6,1,0,1,0.0,0.0,0.0,0,0,3,4,75.0,12,4,2,0,0,29,0,,3,4,75.0,0,0,,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,16.7,1,3,2,0,1,,0,0,0,0,,0,0,7,4,57.1,0,0,0,0,0,0,0,0,0,
