,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,PrgDist,Carries,PrgDist.1,Succ,TotDist,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos
1,2019-08-10,Sat,Premier League,Matchweek 1,Home,W 3–0,Burnley,Southampton,Y,GK,90,3,0,3,1.000,1,0.7,9,28,32.1,31,4,74.2,56.5,6,83.3,72.5,3,0,0.0,2,18.7,0,0,0,0,0,0,0,0,41,0,0,0,0,0.0,0.0,0.0,1,0,705,19,59,0,880,0,,5,100.0,13,32,40.6,1,1,0,0,0,23,14,8,0,2,0,0,0,0,0,8,1,28,0,32,0,0,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,31,0,,0,0,12,12,100.0,0,0
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–2,Burnley,Arsenal,Y,GK,90,9,2,7,.778,0,1.0,9,23,39.1,22,2,77.3,56.2,6,100.0,69.5,9,1,11.1,3,20.0,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,1,0,589,12,64,0,689,0,,4,100.0,10,24,41.7,1,2,1,0,0,15,13,7,0,1,0,0,0,0,0,5,0,23,0,23,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,24,1,,0,0,9,9,100.0,0,0
3,2019-08-25,Sun,Premier League,Matchweek 3,Away,D 1–1,Burnley,Wolves,Y,GK,90,1,1,1,1.000,0,0.8,6,31,19.4,25,4,84.0,63.9,11,90.9,77.0,16,2,12.5,1,15.3,0,0,0,0,0,0,0,0,36,0,0,0,0,0.0,0.0,0.3,1,0,499,15,67,0,593,0,,3,100.0,8,33,24.2,1,2,0,0,0,21,15,4,0,2,0,0,0,0,0,4,1,31,5,21,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,31,0,,0,0,9,9,100.0,0,0
5,2019-08-31,Sat,Premier League,Matchweek 4,Home,L 0–3,Burnley,Liverpool,Y,GK,90,6,3,3,.500,0,2.4,8,27,29.6,31,6,77.4,54.9,5,60.0,54.0,9,1,11.1,1,13.0,0,0,0,0,0,0,0,0,38,0,0,0,0,0.0,0.0,0.0,0,0,517,17,89,0,687,0,,5,100.0,12,31,38.7,0,2,0,0,1,24,12,7,0,1,0,0,0,0,0,7,2,27,3,24,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,32,0,,0,0,10,10,100.0,0,0
6,2019-09-07,Sat,Euro Qualifying,Group stage,Home,W 4–0,eng England,bg Bulgaria,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-09-10,Tue,Euro Qualifying,Group stage,Home,W 5–3,eng England,xk Kosovo,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2019-09-14,Sat,Premier League,Matchweek 5,Away,D 1–1,Burnley,Brighton,Y,GK,90,5,1,4,.800,0,1.0,6,29,20.7,26,3,76.9,54.7,12,75.0,56.3,15,1,6.7,4,22.3,0,0,0,0,0,0,0,0,43,1,0,0,0,0.0,0.0,0.0,0,0,433,17,76,0,569,0,,3,100.0,11,35,31.4,0,0,0,0,0,19,19,7,0,3,0,0,0,0,0,8,1,29,6,27,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,1,0,0,0,0,,0,0,32,0,,0,0,9,9,100.0,0,0
9,2019-09-21,Sat,Premier League,Matchweek 6,Home,W 2–0,Burnley,Norwich City,Y,GK,90,2,0,2,1.000,1,0.5,5,14,35.7,11,3,63.6,54.8,7,100.0,86.7,6,1,16.7,2,19.7,0,0,0,0,0,0,0,0,21,0,0,0,0,0.0,0.0,0.0,0,0,333,5,15,0,386,0,,1,100.0,6,17,35.3,0,2,0,0,0,8,10,2,0,1,0,1,1,0,0,1,2,15,1,13,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,15,0,,0,0,3,3,100.0,0,0
10,2019-09-28,Sat,Premier League,Matchweek 7,Away,D 2–2,Burnley,Aston Villa,Y,GK,90,3,2,1,.333,0,1.0,12,31,38.7,22,2,86.4,60.3,13,92.3,75.1,17,1,5.9,0,11.0,0,0,0,0,0,0,0,0,37,0,0,0,0,0.0,0.0,0.0,0,0,727,13,67,0,890,0,,1,100.0,15,34,44.1,0,1,0,0,0,16,19,6,0,0,0,0,0,0,0,3,1,31,1,31,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,30,0,,0,0,11,11,100.0,0,0
11,2019-10-05,Sat,Premier League,Matchweek 8,Home,W 1–0,Burnley,Everton,Y,GK,90,2,0,2,1.000,1,0.4,4,18,22.2,19,5,68.4,52.2,6,83.3,67.5,9,0,0.0,1,24.5,0,0,0,0,0,0,0,0,27,0,0,0,0,0.0,0.0,0.0,1,0,298,11,64,0,387,1,100.0,5,100.0,5,19,26.3,0,0,0,0,0,12,13,7,0,1,0,0,0,0,0,7,0,18,0,17,0,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,21,0,,0,0,5,5,100.0,0,0
