,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-10,Sat,Premier League,Matchweek 1,Home,L 0–3,Watford,Brighton,Y,CB,90,0,0,0,0,2,1,0,0,47,14,3,1,0,0.3,0.3,0.0,0,0,30,33,90.9,304,26,86,0,0,835,0,0.0,13,14,92.9,17,18,94.4,0,3,0,0,2,32,1,1,0,1,0,0,0,0,0,20,7,6,2,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,100.0,0,57.1,6,8,0,0,0,,9,0,3,2,,0,0,27,27,100.0,0,0,0,1,0,0,6,2,0,100.0
2,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 0–1,Watford,Everton,Y,CB,90,0,0,0,0,1,0,0,0,61,7,2,2,5,0.0,0.0,0.0,0,0,35,42,83.3,428,31,90,0,0,1087,0,,14,15,93.3,21,27,77.8,0,7,0,0,1,39,3,2,0,4,0,0,0,0,0,21,6,15,1,35,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,100.0,0,57.1,4,2,1,0,1,,8,0,6,1,,0,0,35,32,91.4,1,0,0,1,0,0,9,6,1,85.7
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–3,Watford,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,61,8,2,0,0,0.0,0.0,0.0,0,0,45,55,81.8,312,43,123,0,0,1085,0,,26,29,89.7,19,26,73.1,0,2,0,0,3,52,3,2,0,2,0,0,0,0,0,40,8,7,4,48,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,50.0,1,37.5,3,4,1,0,0,,3,0,5,0,,0,0,52,46,88.5,1,0,0,4,0,0,7,1,4,20.0
5,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Watford,Newcastle Utd,Y,CB,90,0,0,0,0,2,0,1,0,60,10,2,0,1,0.2,0.2,0.0,1,0,33,43,76.7,309,33,66,0,0,800,0,,20,24,83.3,13,19,68.4,0,2,0,0,1,41,2,2,0,0,0,0,0,0,0,30,6,7,2,39,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0.0,1,60.0,7,3,0,0,1,,11,0,6,3,,0,0,34,33,97.1,0,0,0,2,0,0,10,7,1,87.5
6,2019-09-15,Sun,Premier League,Matchweek 5,Home,D 2–2,Watford,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,41,2,1,0,1,0.0,0.0,0.0,0,0,29,33,87.9,147,17,24,0,0,597,0,0.0,21,23,91.3,8,9,88.9,0,2,0,0,1,33,0,0,0,0,0,0,0,0,0,23,5,5,2,26,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,50.0,1,50.0,0,2,0,0,1,,6,0,4,0,,0,0,23,23,100.0,0,0,0,0,0,0,10,0,0,
7,2019-09-21,Sat,Premier League,Matchweek 6,Away,L 0–8,Watford,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,53,12,0,0,2,0.0,0.0,0.0,0,0,37,44,84.1,206,40,59,0,0,861,0,,24,25,96.0,13,19,68.4,0,1,0,0,1,44,0,0,0,2,0,0,0,0,0,34,0,10,2,41,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,25.0,9,3,0,0,0,,7,0,9,0,,0,0,40,40,100.0,0,0,0,0,0,0,4,0,0,
8,2019-09-24,Tue,EFL Cup,Third round,Home,W 2–1,Watford,Swansea City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Watford,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,82,9,0,1,2,0.0,0.0,0.0,0,0,73,79,92.4,465,71,164,1,1,1404,0,0.0,51,51,100.0,22,27,81.5,0,3,0,0,4,78,1,1,0,3,0,0,0,0,0,61,11,7,2,73,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,55.6,5,4,0,0,2,,0,0,4,1,100.0,1,0,69,69,100.0,0,0,0,0,0,0,10,2,0,100.0
10,2019-10-05,Sat,Premier League,Matchweek 8,Home,D 0–0,Watford,Sheffield Utd,N,CB,34,0,0,0,0,1,1,0,0,27,2,1,3,1,0.2,0.2,0.0,0,0,15,18,83.3,76,11,26,0,0,299,0,,10,11,90.9,5,7,71.4,0,1,0,0,1,18,0,0,0,0,0,0,0,0,0,8,4,6,1,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0.0,1,1,0,0,0,,4,0,5,1,,0,0,11,11,100.0,0,1,0,1,0,0,6,3,0,100.0
11,2019-10-19,Sat,Premier League,Matchweek 9,Away,D 1–1,Watford,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,38,7,1,0,4,0.0,0.0,0.0,0,0,15,18,83.3,46,12,13,0,0,365,0,,7,8,87.5,8,10,80.0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,4,4,2,13,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,28.6,6,1,0,0,1,,14,0,10,0,,0,0,10,10,100.0,0,0,0,0,0,0,8,2,2,50.0
