,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-09-14,Sat,Premier League,Matchweek 5,Home,D 1–1,Brighton,Burnley,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-09-21,Sat,Premier League,Matchweek 6,Away,D 0–0,Brighton,Newcastle Utd,N,"RW,FW",9,0,0,0,0,1,1,0,0,11,5,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,3,7,27,0,2,122,1,100.0,3,3,100.0,2,3,66.7,0,0,0,0,0,7,0,0,0,1,2,0,0,0,0,4,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,3,0,2,0,0,,1,0,0,0,0.0,0,0,11,9,81.8,0,0,0,0,0,0,1,0,1,0.0
4,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Brighton,Chelsea,Y,DM,45,0,0,0,0,0,0,0,0,18,24,1,1,0,0.0,0.0,0.0,0,0,12,14,85.7,32,12,22,1,2,183,0,,10,12,83.3,2,2,100.0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,9,4,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,12.5,8,10,6,0,0,,1,0,0,0,50.0,1,0,14,9,64.3,0,0,0,3,0,0,5,0,0,
5,2019-10-05,Sat,Premier League,Matchweek 8,Home,W 3–0,Brighton,Tottenham,N,"CM,FW",11,0,0,0,0,0,0,0,0,9,6,1,0,0,0.0,0.0,0.0,0,0,8,8,100.0,23,6,17,0,0,95,0,,8,8,100.0,0,0,,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,0,16.7,4,1,1,0,0,,0,0,0,0,,0,0,6,6,100.0,0,0,0,0,0,0,2,0,0,
6,2019-10-19,Sat,Premier League,Matchweek 9,Away,L 1–2,Brighton,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-10-26,Sat,Premier League,Matchweek 10,Home,W 3–2,Brighton,Everton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019-11-23,Sat,Premier League,Matchweek 13,Home,L 0–2,Brighton,Leicester City,N,DM,14,0,0,0,0,0,0,0,0,14,1,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,60,12,25,0,1,325,0,,7,7,100.0,5,5,100.0,0,1,0,0,1,12,0,0,0,2,0,0,0,0,0,10,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.0,0,1,0,0,0,,1,0,0,0,0.0,0,0,12,12,100.0,0,0,0,0,0,0,1,0,0,
10,2019-11-30,Sat,Premier League,Matchweek 14,Away,L 1–2,Brighton,Liverpool,Y,CM,68,0,0,0,0,0,0,0,0,34,19,1,0,0,0.0,0.0,0.0,2,0,22,29,75.9,47,22,63,0,0,281,1,50.0,18,21,85.7,3,6,50.0,1,2,0,0,1,29,0,0,0,0,0,0,0,0,0,20,8,1,1,25,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,2,26.3,2,15,2,0,0,,0,0,1,1,,0,0,31,28,90.3,3,1,0,1,0,0,5,1,0,100.0
11,2019-12-05,Thu,Premier League,Matchweek 15,Away,W 2–1,Brighton,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-12-08,Sun,Premier League,Matchweek 16,Home,D 2–2,Brighton,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
