,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,TotDist,Cmp.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,PassLive,PassDead,Drib,Fld,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,OG,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,#Pl,Megs,Targ,Rec,Rec%,Miscon,Dispos,2CrdY,Fls,PKwon,PKcon,Recov,Won,Lost,Won%
1,2019-08-11,Sun,Premier League,Matchweek 1,Home,W 4–0,Manchester Utd,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-08-19,Mon,Premier League,Matchweek 2,Away,D 1–1,Manchester Utd,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–2,Manchester Utd,Crystal Palace,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 1–1,Manchester Utd,Southampton,N,"CM,DM,AM",23,0,0,0,0,2,0,0,0,34,3,0,0,0,0.1,0.1,0.0,1,0,25,29,86.2,121,24,59,0,0,448,0,0.0,20,22,90.9,5,6,83.3,0,1,1,0,3,29,0,0,0,0,0,0,0,0,0,24,4,1,23,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,33.3,0,2,1,0,0,,2,0,0,2,,0,0,27,26,96.3,0,1,0,0,0,0,6,1,0,100.0
5,2019-09-07,Sat,Euro Qualifying,Group stage,Home,L 2–4,rs Serbia,pt Portugal,Y,DM,90,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
6,2019-09-10,Tue,Euro Qualifying,Group stage,Away,W 3–1,rs Serbia,lu Luxembourg,N,,12,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
7,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 1–0,Manchester Utd,Leicester City,Y,DM,66,0,0,0,0,0,0,0,0,46,27,3,0,0,0.0,0.0,0.0,0,0,26,39,66.7,108,24,37,0,0,453,0,0.0,23,32,71.9,3,5,60.0,0,2,0,0,1,38,1,1,0,0,0,0,0,0,0,25,3,11,25,6,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,20.0,4,29.6,12,11,4,0,0,,2,0,4,0,,0,0,31,28,90.3,1,2,0,1,0,0,12,2,0,100.0
8,2019-09-19,Thu,Europa Lg,Group stage,Home,W 1–0,eng Manchester Utd,kz Astana FK,Y*,DM,90,0,0,0,0,0,0,0,0,127,11,1,0,1,0.0,0.0,0.0,4,0,112,121,92.6,532,110,372,1,1,2079,0,0.0,92,100,92.0,20,20,100.0,0,15,0,0,14,120,1,1,0,2,0,0,0,0,0,110,8,3,99,18,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,63.6,4,4,3,0,1,,1,0,2,0,100.0,1,0,108,106,98.1,1,2,0,0,0,0,16,2,0,100.0
9,2019-09-22,Sun,Premier League,Matchweek 6,Away,L 0–2,Manchester Utd,West Ham,Y,DM,70,0,0,0,0,1,1,0,0,55,8,1,1,1,0.0,0.0,0.0,1,0,42,47,89.4,235,36,112,2,3,722,2,66.7,33,34,97.1,7,10,70.0,0,4,0,0,4,47,0,0,0,2,0,0,0,0,0,34,3,10,39,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,1,25.0,2,6,0,0,0,,1,0,2,2,66.7,2,0,39,38,97.4,0,1,0,0,0,0,12,3,0,100.0
11,2019-09-30,Mon,Premier League,Matchweek 7,Home,D 1–1,Manchester Utd,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2019-10-03,Thu,Europa Lg,Group stage,Away,D 0–0,eng Manchester Utd,nl AZ Alkmaar,Y,DM,90,0,0,0,0,0,0,0,0,70,22,2,1,3,0.0,0.0,0.0,0,0,50,57,87.7,202,48,102,1,1,906,0,0.0,38,43,88.4,12,12,100.0,0,10,0,0,2,55,2,1,0,0,0,0,0,0,0,45,5,7,42,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,1,18.2,8,12,2,0,3,,2,0,4,0,100.0,1,0,53,52,98.1,2,2,0,0,0,0,7,1,0,100.0
13,2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Manchester Utd,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2019-12-12,Thu,Europa Lg,Group stage,Home,W 4–0,eng Manchester Utd,nl AZ Alkmaar,Y,CM,90,0,0,0,0,0,0,0,0,75,20,2,0,1,0.0,0.0,0.0,3,2,63,69,91.3,332,54,145,2,2,1545,2,66.7,42,45,93.3,19,21,90.5,1,4,2,0,10,67,2,2,0,9,0,0,0,0,0,51,9,9,61,7,1,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,1,1,0,1,50.0,1,30.0,9,9,2,0,1,,2,0,0,1,100.0,2,0,69,66,95.7,1,0,0,1,0,0,2,0,0,
17,2019-12-18,Wed,EFL Cup,Quarter-finals,Home,W 3–0,Manchester Utd,Colchester Utd,Y,DM,90,0,1,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
18,2019-12-22,Sun,Premier League,Matchweek 18,Away,L 0–2,Manchester Utd,Watford,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2019-12-28,Sat,Premier League,Matchweek 20,Away,W 2–0,Manchester Utd,Burnley,Y,CM,90,0,0,0,0,1,0,0,0,63,7,1,0,1,0.1,0.1,0.0,1,0,52,57,91.2,198,47,137,2,2,886,1,50.0,42,43,97.7,9,12,75.0,0,2,0,0,1,55,2,1,0,0,0,0,0,0,0,44,9,4,43,8,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,0,42.9,1,5,1,0,1,,2,0,2,0,100.0,2,0,47,43,91.5,0,1,0,0,0,0,14,5,4,55.6
21,2020-01-01,Wed,Premier League,Matchweek 21,Away,L 0–2,Manchester Utd,Arsenal,Y,CM,80,0,0,0,0,0,0,0,0,58,13,0,0,0,0.0,0.0,0.1,4,0,47,57,82.5,208,47,183,5,5,686,0,,39,44,88.6,8,13,61.5,1,6,1,0,6,55,2,2,0,1,0,0,0,0,0,49,3,5,47,10,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,15.4,3,9,1,0,0,,0,0,1,1,100.0,5,0,46,43,93.5,0,1,0,1,0,0,13,0,0,
22,2020-01-04,Sat,FA Cup,Third round,Away,D 0–0,Manchester Utd,Wolves,Y,DM,90,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,
23,2020-01-07,Tue,EFL Cup,Semi-finals,Home,L 1–3,Manchester Utd,Manchester City,N,,45,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
